Compound,eta_cation,min_eta_anion,max_eta_anion,mean_eta_anion,std-dev_eta_anion,min_diff_eta,max_diff_eta,mean_diff_eta,std-dev_diff_eta,mean_eta_both,geom-mean_eta_both,eta_all,Formation_energy
OH-O-Fe,13.1,4.9,5.6,5.25,0.34999999999999964,7.5,8.2,7.85,0.34999999999999964,7.866666666666667,7.110254309385781,"[13.1, 4.9, 5.6]",-1.21004957
OH-O-Ga,17.0,4.9,5.6,5.25,0.34999999999999964,11.4,12.1,11.75,0.34999999999999964,9.166666666666666,7.75552155945625,"[17.0, 4.9, 5.6]",-1.5547389875
OH-O-Gd,11.7,4.9,5.6,5.25,0.34999999999999964,6.1,6.799999999999999,6.449999999999999,0.34999999999999964,7.400000000000001,6.847362545112249,"[11.7, 4.9, 5.6]",-2.5773029925
OH-O-In,13.0,4.9,5.6,5.25,0.34999999999999964,7.4,8.1,7.75,0.34999999999999964,7.833333333333333,7.092115826741242,"[13.0, 4.9, 5.6]",-1.40444888
OH-O-Ir,7.9,4.9,5.6,5.25,0.34999999999999964,2.3000000000000007,3.0,2.6500000000000004,0.34999999999999964,6.133333333333333,6.00717659783669,"[7.9, 4.9, 5.6]",-0.54753223
OH-O-La,15.4,4.9,5.6,5.25,0.34999999999999964,9.8,10.5,10.15,0.34999999999999964,8.633333333333333,7.504151775351509,"[15.4, 4.9, 5.6]",-2.65291214
OH-O-Lu,12.1,4.9,5.6,5.25,0.34999999999999964,6.5,7.199999999999999,6.85,0.34999999999999964,7.533333333333334,6.924522420548182,"[12.1, 4.9, 5.6]",-2.78973687
OH-O-Nd,9.2,4.9,5.6,5.25,0.34999999999999964,3.5999999999999996,4.299999999999999,3.9499999999999993,0.34999999999999964,6.566666666666666,6.320100409663603,"[9.2, 4.9, 5.6]",-2.5936106325
OH-O-Rh,11.2,4.9,5.6,5.25,0.34999999999999964,5.6,6.299999999999999,5.949999999999999,0.34999999999999964,7.233333333333334,6.748398339690645,"[11.2, 4.9, 5.6]",-0.8422369425
OH-O-Ru,10.7,4.9,5.6,5.25,0.34999999999999964,5.1,5.799999999999999,5.449999999999999,0.34999999999999964,7.066666666666666,6.64644315793276,"[10.7, 4.9, 5.6]",-0.800851885
OH-O-Sc,24.6,4.9,5.6,5.25,0.34999999999999964,19.0,19.700000000000003,19.35,0.3500000000000014,11.700000000000001,8.772157178481581,"[24.6, 4.9, 5.6]",-2.7142150975
OH-O-Sm,9.0,4.9,5.6,5.25,0.34999999999999964,3.4000000000000004,4.1,3.75,0.34999999999999964,6.5,6.273966645180031,"[9.0, 4.9, 5.6]",-2.63276329
OH-O-Y,20.6,4.9,5.6,5.25,0.34999999999999964,15.000000000000002,15.700000000000001,15.350000000000001,0.34999999999999964,10.366666666666667,8.268316817074286,"[20.6, 4.9, 5.6]",-2.734491985
O-O-Ce,14.4,4.9,4.9,4.9,0.0,9.5,9.5,9.5,0.0,8.066666666666668,7.018617108950419,"[14.4, 4.9, 4.9]",-3.4869070932999997
O-O-Ge,23.9,4.9,4.9,4.9,0.0,19.0,19.0,19.0,0.0,11.233333333333333,8.309917018329221,"[23.9, 4.9, 4.9]",-1.67367336
O-O-Hf,28.0,4.9,4.9,4.9,0.0,23.1,23.1,23.1,0.0,12.6,8.76025464394636,"[28.0, 4.9, 4.9]",-3.6135475333
O-O-Ir,18.3,4.9,4.9,4.9,0.0,13.4,13.4,13.4,0.0,9.366666666666667,7.6023480741017355,"[18.3, 4.9, 4.9]",-0.6170653767000001
O-O-Mo,7.2,4.9,4.9,4.9,0.0,2.3,2.3,2.3,0.0,5.666666666666667,5.570680091054948,"[7.2, 4.9, 4.9]",-1.6906859
O-O-Os,6.8,4.9,4.9,4.9,0.0,1.8999999999999995,1.8999999999999995,1.8999999999999995,0.0,5.533333333333334,5.465547725245797,"[6.8, 4.9, 4.9]",-0.56077649
O-O-Pd,8.6,4.9,4.9,4.9,0.0,3.6999999999999993,3.6999999999999993,3.6999999999999993,0.0,6.133333333333333,5.910581413497299,"[8.6, 4.9, 4.9]",-0.5358927967
O-O-Pt,8.7,4.9,4.9,4.9,0.0,3.799999999999999,3.799999999999999,3.799999999999999,0.0,6.166666666666667,5.93340241752103,"[8.7, 4.9, 4.9]",-0.6775186867
O-O-Re,10.5,4.9,4.9,4.9,0.0,5.6,5.6,5.6,0.0,6.766666666666667,6.31723674800756,"[10.5, 4.9, 4.9]",-1.0341933533
O-O-Ru,8.5,4.9,4.9,4.9,0.0,3.5999999999999996,3.5999999999999996,3.5999999999999996,0.0,6.1000000000000005,5.887582809647197,"[8.5, 4.9, 4.9]",-0.9408513933
O-O-Sn,18.3,4.9,4.9,4.9,0.0,13.4,13.4,13.4,0.0,9.366666666666667,7.6023480741017355,"[18.3, 4.9, 4.9]",-1.65445234
O-O-Tc,12.8,4.9,4.9,4.9,0.0,7.9,7.9,7.9,0.0,7.533333333333334,6.748398339690645,"[12.8, 4.9, 4.9]",-1.4606548466999998
O-O-Te,10.7,4.9,4.9,4.9,0.0,5.799999999999999,5.799999999999999,5.799999999999999,0.0,6.833333333333333,6.357094185666884,"[10.7, 4.9, 4.9]",-0.64455192
O-O-Ti,28.0,4.9,4.9,4.9,0.0,23.1,23.1,23.1,0.0,12.6,8.76025464394636,"[28.0, 4.9, 4.9]",-3.19809169
O-O-W,5.5,4.9,4.9,4.9,0.0,0.5999999999999996,0.5999999999999996,0.5999999999999996,0.0,5.1000000000000005,5.09235044415402,"[5.5, 4.9, 4.9]",-1.6436429233
O-O-Zr,23.0,4.9,4.9,4.9,0.0,18.1,18.1,18.1,0.0,10.933333333333332,8.20427102507125,"[23.0, 4.9, 4.9]",-3.53233204
NH-OH-Al,45.8,3.6,5.6,4.6,0.9999999999999998,40.199999999999996,42.199999999999996,41.199999999999996,1.0,18.333333333333332,9.737601597491588,"[45.8, 3.6, 5.6]",-1.3323578
NH-OH-Bi,9.9,3.6,5.6,4.6,0.9999999999999998,4.300000000000001,6.300000000000001,5.300000000000001,1.0,6.366666666666667,5.843978024026753,"[9.9, 3.6, 5.6]",-0.309355838
