Compound,Formation_energy,E_above_hull,Hessian_eig_min_abs,C11,C22,C66,Thermo_stability_level,Dyn_stability_level,Thermo_Dyn_stability_level
NH-OH-Ga,-0.81355933,0.227005251,0.00010724501315438052,66.17740553,66.17734504,-10.13791794,M,l,Ml
NH-OH-Gd,-1.443026934,0.138443324,5.332936770680995e-05,74.48498319,74.48498319,25.4448742,H,m,Hm
NH-OH-In,-0.699562786,0.195147178,1.649543210099428e-05,75.23162564,75.23144718,16.65405814,H,m,Hm
NH-OH-Ir,-0.2936719,0.35226175,5.279141472634625e-05,93.0583385,93.05819615,33.901239700000005,M,m,Mm
NH-OH-La,-1.469984264,0.265755571,0.00022867112877392382,66.89641999999999,66.89641999999999,20.891479999999998,M,m,Mm
NH-OH-Lu,-1.601671202,0.305864811,0.7585615888688775,91.48620348,91.48590179,30.93723445,M,m,Mm
NH-OH-Nd,-1.438876868,0.281787715,0.00010403241641995345,72.14596,72.1457,23.554920000000003,M,m,Mm
NH-OH-Rh,-0.489620646,0.15630976300000002,0.00013420851235249837,91.27479563,91.27469032,31.71827636,H,m,Hm
NH-OH-Ru,-0.355887312,0.290041659,1.588290490645632e-05,48.59164086,48.59157271,-16.13158612,M,l,Ml
NH-OH-Sc,-1.562290044,0.303261999,4.1683666551931455e-05,97.41501061,97.41487374,32.8693561,M,m,Mm
NH-OH-Sm,-1.4722044,0.287939398,2.358162551504064e-05,76.43562762,76.43541411,25.12746939,M,m,Mm
NH-OH-Y,-1.559565658,0.295140033,0.0002544096615138653,83.61236,83.61216,27.3215,M,m,Mm
PH-OH-Al,-0.643421426,0.849173188,8.590094134484528e-05,1.46791056,1.46791056,-16.18116016,M,l,Ml
PH-OH-Bi,-0.319930276,0.575840841,0.00012241253338293845,35.44117834,35.44121499,8.94301475,M,m,Mm
PH-OH-Ce,-1.152342588,0.917954321,0.0009955368638900732,28.26342256,28.26342256,3.15213942,M,m,Mm
PH-OH-Co,-0.578387012,0.487644351,2.346127167243229e-05,85.02944331,85.02941386,24.537148100000003,M,m,Mm
PH-OH-Cr,-0.6058054979999999,0.608538452,4.7228146490646456e-06,32.48148246,32.48148246,-24.0754947,M,l,Ml
PH-OH-Fe,-0.454951592,0.618491769,2.5147826490418925e-05,29.637348699999997,29.637333399999996,-25.83771804,M,l,Ml
PH-OH-Ga,-0.410925536,0.6865523379999999,0.0012993021196676172,33.19462803,33.19446942,-6.69327438,M,l,Ml
PH-OH-Gd,-1.078825434,0.485395897,1.4980721227007736e-05,37.29116967,37.29116967,10.90801325,M,m,Mm
PH-OH-In,-0.431066712,0.612010325,0.00024135867350803662,32.06785048,32.06765315,0.90527013,M,m,Mm
PH-OH-Ir,-0.579195664,0.445813385,7.903968560421201e-06,87.01457656,87.01456389,27.62887546,M,h,Mh
PH-OH-La,-1.148087324,0.6630999360000001,0.0003043446739532656,37.10870477,37.10870477,9.19251167,M,m,Mm
PH-OH-Lu,-1.119363158,0.728977268,0.03166591369537927,40.46625045,40.46625045,12.23403057,M,m,Mm
PH-OH-Nd,-1.098179358,0.689887542,0.00014871469968048568,42.02264789,42.02262958,13.45169682,M,m,Mm
PH-OH-Rh,-0.677692792,0.455567873,1.172091627721082e-05,77.85972368,77.85972368,22.04543498,M,m,Mm
PH-OH-Ru,-0.435394284,0.584914875,7.556490128575227e-05,17.07012071,17.07012071,-37.03347499,M,l,Ml
PH-OH-Sc,-1.094054124,0.695967482,4.301892502687199e-05,35.76211633,35.76189774,9.60082554,M,m,Mm
PH-OH-Sm,-1.103228004,0.6883673359999999,0.0002561599937980573,45.02044764,45.02044764,14.33874254,M,m,Mm
PH-OH-Y,-1.136907746,0.6975988409999999,5.596085481547916e-05,43.29827306,43.29827306,13.29187852,M,m,Mm
S-OH-Al,-1.357853244,0.487927637,9.93295268969946e-06,71.63311651,71.63295407,22.59354434,M,h,Mh
S-OH-Bi,-0.668961472,0.127824362,6.430480701883312e-05,43.37879052,43.37874926,15.029290300000001,H,m,Hm
S-OH-Ce,-1.920960637,0.254561875,4.532388559793504e-05,49.00136,49.00136,17.002979999999997,M,m,Mm
S-OH-Co,-0.8444798020000001,0.13934639,0.00015277335436999058,85.7116608,85.71158449,31.43430716,H,m,Hm
S-OH-Cr,-1.131475022,0.347860549,0.00021640744148259742,85.11731624,85.11724894,33.33185698,M,m,Mm
S-OH-Fe,-0.760498997,0.265729648,0.001890938336363539,38.38653402,38.38651821,-1.36098407,M,l,Ml
S-OH-Ga,-0.910350124,0.285716326,8.350520341282372e-05,-211.42644655,-211.42612477,-256.23555971,M,l,Ml
S-OH-Gd,-1.980174369,3.182508605,0.00036730678992549066,52.18487917,52.18486041,18.31566372,M,m,Mm
S-OH-In,-0.935089122,0.181343781,7.089914460204849e-06,33.40222,33.40224,-2.37548,H,l,Hl
S-OH-Ir,-0.629656787,0.194501682,2.355516911873621e-05,88.83452785,88.83439828,31.62462081,H,m,Hm
S-OH-La,-2.005148237,0.385929824,8.958776130945136e-05,43.909259999999996,43.90914,14.68162,M,m,Mm
S-OH-Lu,-1.991505667,0.353912099,0.4257210163740454,58.79824,58.79804,20.6341,M,m,Mm
S-OH-Nd,-1.937591737,0.307868162,7.701984507276562e-05,47.16626,47.1662,16.581020000000002,M,m,Mm
S-OH-Rh,-0.821152889,0.097148085,5.7482986645571816e-06,77.73275385,77.73265953,26.93461445,H,h,Hh
S-OH-Ru,-0.607813659,0.294918461,1.9580573237178573e-05,24.17653339,24.17650369,-20.98762326,M,l,Ml
S-OH-Sc,-1.936084917,0.322688354,5.08931117440219e-05,64.44533435,64.44518694,23.47874552,M,m,Mm
S-OH-Sm,-1.950780249,0.299927099,1.9818780666308857e-06,49.67842,49.6783,17.46542,M,h,Mh
S-OH-Y,-2.010741862,0.310589272,4.411545762022427e-05,52.30662,52.306459999999994,18.35258,M,m,Mm
Se-OH-Al,-1.12747815,0.662139235,0.00036405261874962935,36.11051746,36.11041895,9.72232307,M,m,Mm
Se-OH-Bi,-0.676359375,0.122321483,8.518652642911094e-05,43.57597226,43.57589674,14.60528563,H,m,Hm
Se-OH-Ce,-1.929690377,0.662326584,0.00015805053693059836,46.7882768,46.7882768,16.93771046,M,m,Mm
Se-OH-Co,-0.7391721,0.181060731,0.00023382361137220712,74.69133793,74.69119552,25.79444872,H,m,Hm
Se-OH-Cr,-1.03107403,0.39969952,4.46648708482448e-05,73.26874165,73.26864663,28.84037443,M,m,Mm
Se-OH-Fe,-0.646776,0.289496419,0.0004382119719697501,47.58200397,47.58193052,2.76312542,M,m,Mm
Se-OH-Ga,-0.777191295,0.389769793,0.00012029106094911272,33.47929985,33.47923959,-4.27345059,M,l,Ml
Se-OH-Gd,-1.862880077,3.401934209,0.00014854291550187794,52.43666871,52.43666871,18.75178338,M,m,Mm
Se-OH-In,-0.8493985999999999,0.232321872,3.076834775854276e-05,-273.98417189,-273.98422821,-304.98190028,M,l,Ml
Se-OH-Ir,-0.53869928,0.198082594,6.4930301362781194e-06,79.07406385,79.07385581,26.08466914,H,h,Hh
Se-OH-La,-1.905174268,0.342531099,0.0017986213662600336,39.93399512,39.93384025,13.28536487,M,m,Mm
Se-OH-Lu,-1.848020385,0.442585315,0.2103177941446852,51.94189168,51.94191179999999,17.38341055,M,m,Mm
Se-OH-Nd,-1.836445185,0.34521697,1.6194217619322493e-05,46.69434362,46.6942643,16.77661426,M,m,Mm
Se-OH-Rh,-0.754634675,0.061065913,2.396281971259307e-05,68.50866408,68.50852422,21.70457618,H,m,Hm
Se-OH-Ru,-0.5018174679999999,0.331256107,1.583501401236443e-05,17.17861334,17.17855811,-22.31654189,M,l,Ml
Se-OH-Sc,-1.785366235,0.310784901,4.047156889719529e-05,65.98739336,65.98723421,24.34736249,M,m,Mm
Se-OH-Sm,-1.840636505,0.362259353,9.539913381947262e-05,49.64376082,49.64362184,17.81637623,M,m,Mm
Se-OH-Y,-1.886815295,0.319164959,3.347992657919661e-05,53.14121088,53.14101197,19.07226921,M,m,Mm
Te-OH-Al,-0.789970385,0.939313309,0.013793385599877942,26.17248911,26.17238031,0.42844422,M,m,Mm
Te-OH-Bi,-0.636479185,0.139778405,1.8648422842121494e-05,37.73674219,37.73668852,13.02147185,H,m,Hm
Te-OH-Ce,-1.7361060730000002,0.778047629,2.6027785181184068e-05,44.88728593,44.88728593,16.21960517,M,m,Mm
