Compound,Hessian_eig_min_abs
Cl-Cl-Cu,4.879725929915649e-06
Cl-Cl-Fe,2.2082847594090823e-05
Cl-Cl-Mg,9.52153758379962e-05
Cl-Cl-Mn,3.403175187406558e-05
Cl-Cl-Ni,0.00048618475786340584
Cl-Cl-Pb,6.807383583709197e-05
Cl-Cl-Pd,3.1431309497129535e-06
Cl-Cl-Pt,2.0322951725263038e-07
Cl-Cl-Sr,3.535801694762784e-06
Cl-Cl-Zn,0.00016052866711064773
CN-CN-Ba,1.4487753496508262e-05
CN-CN-Be,0.002017756243930335
CN-CN-Ca,1.5991818997188772e-05
CN-CN-Cd,1.5703413998842215e-05
CN-CN-Co,0.0001770346666174993
CN-CN-Cu,0.020739319103003657
CN-CN-Fe,0.0025678147603227213
CN-CN-Mg,0.000849267170466224
CN-CN-Mn,0.0004942973876510677
CN-CN-Ni,0.0017302572367857412
CN-CN-Pb,3.820950223240519e-05
CN-CN-Pd,5.420513418571022e-06
CN-CN-Pt,6.7332894565489225e-06
CN-CN-Sr,2.1503165577128184e-05
CN-CN-Zn,0.00018877981811201396
F-F-Ba,0.000395681869812556
F-F-Be,4.953921439985806e-05
F-F-Ca,8.073916456399135e-05
F-F-Cd,0.00011992191393706339
F-F-Co,0.0001381066991790367
F-F-Cu,0.0031616904346729495
F-F-Fe,0.0002021166491047887
F-F-Mg,0.0010482924622014565
F-F-Mn,0.0013426977245209466
F-F-Ni,0.0014626559224711227
F-F-Pb,2.1152535918558866e-05
F-F-Pd,2.0759836709364824e-05
F-F-Pt,1.5670839083751673e-05
F-F-Sr,3.844036432633526e-05
F-F-Zn,0.0002055262318622496
I-I-Ba,2.00428930901526e-06
I-I-Be,0.0006206323100394312
I-I-Ca,6.973554696879904e-06
I-I-Cd,3.382260322593316e-05
I-I-Co,4.712806387240744e-05
I-I-Cu,0.007644791261887877
I-I-Fe,0.00042574607987719894
I-I-Mg,0.0012401705743275882
I-I-Mn,8.721761422206771e-05
I-I-Ni,0.016018169315137075
I-I-Pb,4.488075631698725e-06
I-I-Pd,2.6864994242903032e-06
I-I-Pt,4.462014283581439e-07
I-I-Sr,4.5246056871548874e-07
I-I-Zn,1.675442639685661e-05
NC-NC-Ba,2.5955303242089364e-07
NC-NC-Be,0.004268830816225702
NC-NC-Ca,3.8621921832925425e-05
NC-NC-Cd,6.809964484987679e-06
NC-NC-Co,0.00023902382342106144
NC-NC-Cu,0.005515669822643779
NC-NC-Fe,2.0251351462444797e-05
NC-NC-Mg,5.735943857198e-05
NC-NC-Mn,7.88817627160707e-05
NC-NC-Ni,0.00034698167759014085
NC-NC-Pb,3.354052326656939e-05
NC-NC-Pd,2.7494959339470857e-05
NC-NC-Pt,4.772295750079545e-05
NC-NC-Sr,0.00010495440802077766
NC-NC-Zn,3.619508755116902e-05
NCO-NCO-Ba,0.00010497255055922585
NCO-NCO-Be,0.001195348499486177
NCO-NCO-Ca,1.7651019381385935e-05
NCO-NCO-Cd,0.00010741693519837778
NCO-NCO-Co,1.4193409998685726e-05
NCO-NCO-Cu,5.590946478561996e-05
NCO-NCO-Fe,0.0074632507094784025
NCO-NCO-Mg,4.655831065947022e-05
NCO-NCO-Mn,3.7931993042252154e-05
NCO-NCO-Ni,0.0018379734336128142
NCO-NCO-Pb,0.00010875289633579147
NCO-NCO-Pd,4.987544353536971e-05
NCO-NCO-Pt,1.4362995137757463e-05
NCO-NCO-Sr,2.8076394162360605e-05
NCO-NCO-Zn,2.059513835025309e-05
NCS-NCS-Ba,4.902360578119013e-06
NCS-NCS-Be,0.00014230960281427763
NCS-NCS-Ca,1.3952495073234728e-05
NCS-NCS-Cd,4.046789536021042e-05
NCS-NCS-Co,3.778940484460989e-05
NCS-NCS-Cu,0.004766432196912293
NCS-NCS-Fe,0.0016051401386831788
NCS-NCS-Mg,3.808193076447458e-05
NCS-NCS-Mn,5.8083181669027484e-05
NCS-NCS-Ni,0.0007473974806514813
NCS-NCS-Pb,5.170558188316919e-06
NCS-NCS-Pd,7.548815222976936e-05
NCS-NCS-Pt,1.2295802609888495e-05
NCS-NCS-Sr,1.3334244017244671e-05
NCS-NCS-Zn,0.00012450673443482226
NO-NO-Ba,0.00026595077036026607
NO-NO-Be,0.00024283503792847595
NO-NO-Ca,3.203841174342408e-05
NO-NO-Cd,1.1903530810222507e-06
NO-NO-Co,1.8465694570607254e-06
NO-NO-Cu,0.004208070384881666
NO-NO-Fe,2.1078881762572033e-07
NO-NO-Mg,0.004719641214473449
NO-NO-Mn,9.955653007222299e-05
NO-NO-Ni,0.004215597660631241
NO-NO-Pb,0.0018737340445968591
NO-NO-Pd,0.0003415526688128158
NO-NO-Pt,4.7878718830706206e-05
NO-NO-Sr,0.00020939087453153237
NO-NO-Zn,0.00015399979990591553
OCN-OCN-Ba,3.3567704933679547e-06
OCN-OCN-Be,0.0018107525846519752
OCN-OCN-Ca,3.0797512608987745e-05
OCN-OCN-Cd,3.406746270016906e-05
OCN-OCN-Co,0.001241377328638162
OCN-OCN-Cu,0.003567542382471639
OCN-OCN-Fe,0.0018034594578523752
OCN-OCN-Mg,0.0013515993851517063
OCN-OCN-Mn,8.114176909057253e-05
OCN-OCN-Ni,0.03749129204094823
OCN-OCN-Pb,4.803880941338824e-05
OCN-OCN-Pd,0.0001482969294231693
OCN-OCN-Pt,3.3452952079873745e-05
OCN-OCN-Sr,6.597380902497513e-05
OCN-OCN-Zn,0.000879882954750036
SCN-SCN-Ba,3.7981172221467918e-06
SCN-SCN-Be,0.008219928737902565
SCN-SCN-Ca,5.343135697568292e-06
SCN-SCN-Cd,1.2603159195013101e-05
SCN-SCN-Co,0.0029119438071290174
SCN-SCN-Cu,0.0045265968599231075
SCN-SCN-Fe,0.002751143558859608
SCN-SCN-Mg,0.0018335621091480588
SCN-SCN-Mn,0.004880742760100932
SCN-SCN-Ni,0.16580583946999014
SCN-SCN-Pb,0.00011021565961785693
SCN-SCN-Pd,9.959568306851206e-05
SCN-SCN-Pt,1.4498965550039556e-05
SCN-SCN-Sr,0.0001457254558590555
SCN-SCN-Zn,0.0011565942176310004
SH-SH-Ba,7.609165400164255e-06
SH-SH-Be,0.00042343950719718823
SH-SH-Ca,1.402275221843081e-07
SH-SH-Cd,2.1760795199916987e-05
SH-SH-Co,1.803448503402773e-05
SH-SH-Cu,0.003839123791861939
SH-SH-Fe,7.082559235412197e-05
SH-SH-Mg,0.0010248829595494772
SH-SH-Mn,0.00020346785542271195
SH-SH-Ni,0.004145636553478164
SH-SH-Pb,2.516733795881398e-06
SH-SH-Pd,3.068991414393037e-05
SH-SH-Pt,5.745857801723003e-07
SH-SH-Sr,5.596341434557268e-06
SH-SH-Zn,0.0006663548025312959
NH-NH-Ce,0.0010605254160608508
NH-NH-Ge,4.583668348852247e-07
NH-NH-Hf,4.287092148192802e-06
NH-NH-Ir,6.851675186482223e-06
NH-NH-Mo,1.0612088063190792e-05
NH-NH-Os,7.790766450957692e-06
NH-NH-Pd,1.7157979336340063e-05
NH-NH-Pt,1.99612121653399e-06
NH-NH-Re,1.9527845894826005e-05
NH-NH-Ru,1.284431788714022e-05
NH-NH-Sn,5.251974783495369e-05
NH-NH-Tc,8.724925349506973e-06
NH-NH-Te,8.281969491382686e-05
NH-NH-Ti,1.9975487491492534e-05
NH-NH-W,5.724123811435843e-06
NH-NH-Zr,4.901795201623406e-05
PH-PH-Ce,3.9418240488629005e-06
PH-PH-Ge,9.903776464899882e-05
PH-PH-Hf,8.322225371757199e-05
PH-PH-Ir,4.74829083113636e-05
PH-PH-Mo,1.8349711931688403e-05
PH-PH-Os,5.700929843272722e-07
PH-PH-Pd,8.373690841111819e-05
PH-PH-Pt,7.301339140429321e-06
PH-PH-Re,4.7357423491395805e-06
PH-PH-Ru,6.788616402112854e-06
PH-PH-Sn,3.62551955508605e-05
PH-PH-Tc,6.529128797306975e-06
PH-PH-Te,1.2344487472085771e-05
PH-PH-Ti,9.597798433940716e-05
PH-PH-W,2.4695642751503485e-06
PH-PH-Zr,1.3804753916080935e-05
S-S-Ce,3.146304032111984e-05
S-S-Ge,1.7867017142106756e-06
S-S-Hf,3.7108532433682466e-07
S-S-Ir,1.8074262098403252e-06
S-S-Mo,1.0490773620666318e-05
S-S-Os,2.423383029732907e-05
S-S-Pd,4.2232277298710325e-06
S-S-Pt,1.250085007907658e-07
S-S-Re,5.2963488180538665e-06
S-S-Ru,1.7401749482955195e-05
S-S-Sn,2.4718951971461224e-05
S-S-Tc,1.0273449558307198e-05
S-S-Te,1.1077956489552595e-05
S-S-Ti,4.3493008119967533e-07
S-S-W,3.820096560251622e-05
S-S-Zr,1.2765512463516721e-06
Se-Se-Ce,3.527688701963456e-05
Se-Se-Ge,7.015969967020439e-05
Se-Se-Hf,3.5981260006361207e-07
Se-Se-Ir,2.1854536743073633e-05
Se-Se-Mo,9.274802296226507e-08
Se-Se-Os,1.9887401188998643e-06
Se-Se-Pd,6.758975821518742e-06
Se-Se-Pt,2.327637066717252e-06
Se-Se-Re,1.735496424955115e-05
Se-Se-Ru,7.019797612798028e-05
Se-Se-Sn,2.2086406559911037e-05
Se-Se-Tc,3.675595699176799e-06
Se-Se-Te,3.237651689943675e-05
Se-Se-Ti,2.6377836223412027e-06
Se-Se-W,1.2114486949807625e-05
Se-Se-Zr,9.505938601662734e-07
Te-Te-Ce,1.4292377014595265e-06
Te-Te-Ge,0.00023400753329852876
Te-Te-Hf,2.1365419688846924e-06
Te-Te-Ir,0.0022194900472033968
Te-Te-Mo,0.0016875454260372861
Te-Te-Os,0.0075421437946653425
Te-Te-Pd,1.9860338635740613e-05
Te-Te-Pt,5.458680729424232e-07
Te-Te-Re,0.005575483779145248
Te-Te-Ru,3.3664426692037506e-06
Te-Te-Sn,8.091335331768427e-06
Te-Te-Tc,4.704724672075234e-07
Te-Te-Ti,5.139698600671368e-07
Te-Te-W,0.005148897345873151
Te-Te-Zr,1.9620477289777832e-07
NH-Br-Al,7.267681594964497e-06
NH-Br-Bi,1.424170039924148e-05
NH-Br-Ce,1.3828153135435448e-05
NH-Br-Co,3.4747540543434514e-05
NH-Br-Cr,0.00048683397744692005
NH-Br-Fe,0.0013440352798578257
NH-Br-Ga,3.795469556842561e-06
NH-Br-Gd,3.2511879572809546e-05
NH-Br-In,3.529915596667575e-05
NH-Br-Ir,5.769228066479051e-06
NH-Br-La,0.00030134343308926793
NH-Br-Lu,0.0003701516372849083
NH-Br-Nd,1.4977139086527891e-05
NH-Br-Rh,0.0003138211938031521
NH-Br-Ru,2.858457614207722e-05
NH-Br-Sc,0.00011851889704806523
NH-Br-Sm,9.123353200877214e-06
NH-Br-Y,2.9534197753829373e-05
NH-Cl-Al,4.5443657557837667e-05
NH-Cl-Bi,9.575940283389354e-06
NH-Cl-Ce,0.00010981482281175108
NH-Cl-Co,9.526389496965497e-05
NH-Cl-Cr,0.0003809616428501452
NH-Cl-Fe,0.00012075271299730769
NH-Cl-Ga,4.383006930519859e-05
NH-Cl-Gd,7.400830711046572e-06
NH-Cl-In,3.1595258034415978e-06
NH-Cl-Ir,0.00014966950313052707
NH-Cl-La,0.0004444302475303705
NH-Cl-Lu,0.15644714976771212
NH-Cl-Nd,4.248824736688409e-05
NH-Cl-Rh,1.1194336134978531e-05
NH-Cl-Ru,5.46931577443052e-06
NH-Cl-Sc,3.309422065518196e-06
NH-Cl-Sm,1.3005283735221213e-05
NH-Cl-Y,1.7267724176178306e-05
NH-CN-Al,2.108953427978834e-05
NH-CN-Bi,0.0001431707164675657
NH-CN-Ce,7.039593438207998e-06
NH-CN-Co,7.399844330498256e-05
NH-CN-Cr,0.00012079496534731449
NH-CN-Fe,0.0001779581951510783
NH-CN-Ga,0.00014013098747814583
NH-CN-Gd,0.00026730743395140876
NH-CN-In,0.00024716511921757254
NH-CN-Ir,6.99080088878224e-05
NH-CN-La,0.0011270561511479565
NH-CN-Lu,0.3876365531173924
NH-CN-Nd,0.00018353641995665602
NH-CN-Rh,7.378559334761879e-05
NH-CN-Ru,7.069101402810407e-05
NH-CN-Sc,2.6733397965002918e-05
NH-CN-Sm,0.00015728385959921747
NH-CN-Y,0.0004904331746496833
NH-F-Al,6.493961523376116e-05
NH-F-Bi,0.00036806904099755176
NH-F-Ce,0.00047391673691006715
NH-F-Co,1.3726422612203974e-05
NH-F-Cr,6.779811352481454e-05
NH-F-Fe,0.00013085706428724175
NH-F-Ga,0.000184918626702663
NH-F-Gd,0.00025976515026325954
NH-F-In,0.00031862407159025954
NH-F-Ir,0.0003131052059492255
NH-F-La,0.0004833796244110433
NH-F-Lu,0.20066455980941
NH-F-Nd,0.0004080566165322422
NH-F-Rh,0.00015831204520783132
NH-F-Ru,1.3335363519203722e-05
NH-F-Sc,9.3404984513315e-05
NH-F-Sm,0.0001385320168976299
NH-F-Y,8.05941973390105e-05
NH-I-Al,3.639469297410725e-05
NH-I-Bi,8.834965998824758e-05
NH-I-Ce,7.445906497733693e-05
NH-I-Co,0.00019990259273628433
NH-I-Cr,8.538666834204825e-06
NH-I-Fe,0.0016847582489775996
NH-I-Ga,9.588355206924373e-05
NH-I-Gd,2.9760586629934645e-05
NH-I-In,1.1787952686163801e-05
NH-I-Ir,0.00010381831124525617
NH-I-La,0.00022616067634585163
NH-I-Lu,0.03664338131521587
NH-I-Nd,3.303824655464279e-06
NH-I-Rh,7.983618454270946e-05
NH-I-Ru,6.301776915864378e-05
NH-I-Sc,1.4680562546500225e-05
NH-I-Sm,1.7329406273141807e-06
NH-I-Y,1.2115960986780198e-06
NH-NC-Al,0.00022311587571235335
NH-NC-Bi,0.00018120703546652055
NH-NC-Ce,4.1257572127986834e-05
NH-NC-Co,1.2042164976390013e-05
NH-NC-Cr,0.00010286796512867113
NH-NC-Fe,0.00028025251531501195
NH-NC-Ga,0.0004636964961175188
NH-NC-Gd,7.025101773460224e-05
NH-NC-In,5.198429167287754e-05
NH-NC-Ir,4.335668373935223e-05
NH-NC-La,0.0002764083494239331
NH-NC-Lu,0.021854124536628307
NH-NC-Nd,2.57371834232972e-05
NH-NCO-Al,7.803739165466085e-05
NH-NCO-Bi,6.751407658411591e-05
NH-NCO-Ce,5.16482259001274e-05
NH-NCO-Co,0.00029715474488551443
NH-NCO-Cr,2.5794541759470934e-05
