Compound,Formation_energy,E_above_hull,Thermo_stability_level
OCN-OCN-Ca,-0.7976543890000001,0.587603607,M
OCN-OCN-Cd,-0.10592386599999999,0.629788052,M
OCN-OCN-Co,0.008432876,0.722639907,M
OCN-OCN-Cu,0.091854644,0.663330054,M
OCN-OCN-Fe,-0.054891793,0.673923246,M
OCN-OCN-Mg,-0.601426231,0.650801645,M
OCN-OCN-Mn,-0.265559233,0.719141675,M
OCN-OCN-Ni,-0.09171319900000001,0.6355473620000001,M
OCN-OCN-Pb,-0.100890881,0.60964043,M
OCN-OCN-Pd,0.25059095,0.8220625659999999,L
OCN-OCN-Pt,0.447370974,1.018839703,L
OCN-OCN-Sr,-0.803845024,0.5872811729999999,M
OCN-OCN-Zn,-0.13895155,0.6771485190000001,M
SCN-SCN-Ba,-0.208728446,0.496838236,M
SCN-SCN-Be,0.330200037,0.692431503,L
SCN-SCN-Ca,-0.166870955,0.539100375,M
SCN-SCN-Cd,0.328792558,0.549684766,L
SCN-SCN-Co,0.377075135,0.608015203,L
SCN-SCN-Cu,0.49439928200000005,0.575836459,L
SCN-SCN-Fe,0.364261399,0.6298391879999999,L
SCN-SCN-Mg,0.056709744000000006,0.5429537210000001,M
SCN-SCN-Mn,0.38229170100000004,0.7202924409999999,L
SCN-SCN-Ni,0.352279819,0.555671619,L
SCN-SCN-Pb,0.38439347700000004,0.550212122,L
SCN-SCN-Pd,0.487923279,0.648031884,L
SCN-SCN-Pt,0.580847899,0.812144729,L
SCN-SCN-Sr,-0.17912411600000003,0.5284402220000001,M
SCN-SCN-Zn,0.339362204,0.614055831,L
SH-SH-Ba,-0.984309447,0.252467295,M
SH-SH-Be,-0.319467471,0.43663997,M
SH-SH-Ca,-1.025433569,0.21190968,M
SH-SH-Cd,-0.322509165,0.23572331300000002,M
SH-SH-Co,-0.235736523,0.336562959,M
SH-SH-Cu,-0.045126519000000004,0.317868915,M
SH-SH-Fe,-0.26406528100000004,0.35672701,M
SH-SH-Mg,-0.732104755,0.19762020100000002,H
SH-SH-Mn,-0.248581387,0.473603037,M
SH-SH-Ni,-0.273629261,0.260102645,M
SH-SH-Pb,-0.224546799,0.256582692,M
SH-SH-Pd,-0.048427007,0.42470842700000005,M
SH-SH-Pt,0.065182571,0.63798152,M
SH-SH-Sr,-1.043461861,0.1961116,H
SH-SH-Zn,-0.307189131,0.326365335,M
NH-NH-Ce,-0.870372074,0.053732475999999994,H
NH-NH-Ge,-0.18729779,0.151587198,H
NH-NH-Hf,-1.031802776,0.09554274,H
NH-NH-Ir,0.17529765600000002,0.432838796,M
NH-NH-Mo,-0.275563736,0.179713966,H
NH-NH-Os,0.23910916,0.496658371,L
NH-NH-Pd,0.20782816199999998,0.46536963299999995,L
NH-NH-Pt,0.009863931999999999,0.26740136,M
NH-NH-Re,0.009259606,0.285985531,M
NH-NH-Ru,0.05177021,0.30930667100000003,M
NH-NH-Sn,-0.16081176,0.09673772800000001,H
NH-NH-Tc,-0.078776682,0.25093599699999997,M
NH-NH-Te,0.438698436,0.696242354,L
NH-NH-Ti,-0.862083032,0.18625746,H
NH-NH-W,-0.270395826,0.130209304,H
NH-NH-Zr,-0.9696711459999999,0.158270686,H
PH-PH-Ce,-0.37898788,0.540275359,M
PH-PH-Ge,0.280936896,0.534192562,L
PH-PH-Hf,-0.336532664,0.471336407,M
PH-PH-Ir,-0.26056470800000003,0.504511725,M
PH-PH-Mo,-0.09344398,0.471418657,M
PH-PH-Os,0.025126144,0.634816499,M
PH-PH-Pd,-0.056519917999999995,0.503799704,M
PH-PH-Pt,-0.32636184,0.467792959,M
PH-PH-Re,0.09226683599999999,0.579857032,M
PH-PH-Ru,-0.053067674,0.608217551,M
PH-PH-Sn,0.17941421,0.43664567299999996,M
PH-PH-Tc,-0.011901358,0.567751176,M
PH-PH-Te,0.39332581,0.6465915210000001,L
PH-PH-Ti,-0.28250177600000004,0.48884589799999995,M
PH-PH-W,-0.01032999,0.445299689,M
PH-PH-Zr,-0.345964568,0.546275818,M
S-S-Ce,-1.892383631,0.0,H
S-S-Ge,-0.223975258,0.155549685,H
S-S-Hf,-1.7603909180000001,0.017196877,H
S-S-Ir,-0.275214285,0.238303915,M
S-S-Mo,-0.620539875,0.323961057,M
S-S-Os,0.025265535,0.48166413799999996,M
S-S-Pd,-0.251147065,0.11530935199999999,H
S-S-Pt,-0.516308295,0.01625398,H
S-S-Re,-0.153082155,0.44502501200000005,M
S-S-Ru,-0.217519835,0.483715544,M
S-S-Sn,-0.446482275,0.015477177,H
S-S-Tc,-0.334471388,0.382966718,M
S-S-Te,-1.66e-05,0.0,H
S-S-Ti,-1.4738246609999999,0.0,H
S-S-W,-0.536292305,0.313234033,M
S-S-Zr,-1.768988451,0.017978953,H
Se-Se-Ce,-1.703472163,0.0,H
Se-Se-Ge,-0.10882412300000001,0.173981465,H
Se-Se-Hf,-1.474655347,0.016959263000000002,H
Se-Se-Ir,-0.205324803,0.206255539,M
Se-Se-Mo,-0.41638306,0.283423435,M
Se-Se-Os,0.16379963,0.39785249100000003,M
Se-Se-Pd,-0.289910283,0.043086532000000004,H
Se-Se-Pt,-0.51375614,0.006958303000000001,H
Se-Se-Re,0.04660284,0.444138162,M
Se-Se-Ru,-0.132557813,0.382921444,M
Se-Se-Sn,-0.35800400299999996,0.01937794,H
Se-Se-Tc,-0.198515733,0.0,H
Se-Se-Te,-0.072342503,0.0,H
Se-Se-Ti,-1.248322023,0.007020485,H
Se-Se-W,-0.254225073,0.282919568,M
Se-Se-Zr,-1.5213829269999999,0.01988974,H
Te-Te-Ce,-1.29231081,0.203525995,M
Te-Te-Ge,0.017710863,0.107161017,H
Te-Te-Hf,-0.97197191,0.028003682999999998,H
Te-Te-Ir,-0.36764832299999994,0.153292319,H
Te-Te-Mo,-0.193988167,0.197034535,H
Te-Te-Os,0.10159672,0.39042084299999996,M
Te-Te-Pd,-0.40037412299999997,0.11343454,H
Te-Te-Pt,-0.6220012770000001,0.043760103,H
Te-Te-Re,0.221331743,0.221359413,L
Te-Te-Ru,-0.16019930699999999,0.394342133,M
Te-Te-Sn,-0.162181343,0.066363667,H
Te-Te-Tc,-0.106472957,0.0,H
Te-Te-Ti,-0.856915463,0.02872202,H
Te-Te-W,0.06218692,0.252545911,M
Te-Te-Zr,-1.07013484,0.032589207,H
NH-Br-Al,-0.9949577629999999,0.224704335,M
NH-Br-Bi,-0.134123015,0.32619827100000004,M
NH-Br-Ce,-1.537077315,0.32462914800000003,M
NH-Br-Co,-0.15398667300000002,0.280892541,M
NH-Br-Cr,-0.652222973,0.16487062800000002,H
NH-Br-Fe,-0.125543245,0.39322072799999996,M
NH-Br-Ga,-0.497019153,0.233547743,M
NH-Br-Gd,-1.463191315,0.033748246,H
NH-Br-In,-0.507746728,0.080446806,H
NH-Br-Ir,0.100635098,0.464639595,M
NH-Br-La,-1.51909123,0.0,H
NH-Br-Lu,-1.567345223,0.0,H
NH-Br-Nd,-1.467830015,0.01384428,H
NH-Br-Rh,-0.127708568,0.292126189,M
NH-Br-Ru,0.039155373,0.412278745,M
NH-Br-Sc,-1.4834892380000002,0.134112295,H
NH-Br-Sm,-1.490920575,0.018148315,H
NH-Br-Y,-1.565919843,0.0,H
NH-Cl-Al,-1.21754101,0.108204496,H
NH-Cl-Bi,-0.199583388,0.31360124,M
NH-Cl-Ce,-1.631745605,0.352512594,M
NH-Cl-Co,-0.376345045,0.165159915,H
NH-Cl-Cr,-0.82154837,0.075019919,H
NH-Cl-Fe,-0.35604308799999995,0.244368847,M
NH-Cl-Ga,-0.669682908,0.12757063300000002,H
NH-Cl-Gd,-1.579634765,0.036109505,H
NH-Cl-In,-0.62517706,0.044754604,H
NH-Cl-Ir,-0.051901138,0.246633894,M
NH-Cl-La,-1.626459765,0.094418918,H
NH-Cl-Lu,-1.706892705,0.0,H
NH-Cl-Nd,-1.576197988,0.09289333,H
NH-Cl-Rh,-0.293789988,0.100035259,H
NH-Cl-Ru,-0.14560421,0.269353053,M
NH-Cl-Sc,-1.632271445,0.101994075,H
NH-Cl-Sm,-1.60495866,0.0,H
NH-Cl-Y,-1.689442335,0.054172312,H
NH-CN-Al,-0.20383138,0.6084626710000001,M
NH-CN-Bi,0.531538482,0.6624406039999999,L
NH-CN-Ce,-0.46531496,0.33215879600000003,M
NH-CN-Co,0.329260724,0.460176738,L
NH-CN-Cr,0.11631588400000001,0.493034384,M
NH-CN-Fe,0.35341980799999995,0.540998216,L
NH-CN-Ga,0.23044536399999999,0.614745412,L
NH-CN-Gd,-0.48693611,0.360900426,M
NH-CN-In,0.27634269,0.446945724,L
NH-CN-Ir,0.5020142479999999,0.632924595,L
NH-CN-La,-0.52657955,0.241665593,M
NH-CN-Lu,-0.585379686,0.508498772,M
NH-CN-Nd,-0.47978675,0.313343394,M
NH-CN-Rh,0.34887252399999996,0.47977963,L
NH-CN-Ru,0.45073847200000006,0.581644139,L
NH-CN-Sc,-0.520350712,0.501525662,M
NH-CN-Sm,-0.50547036,0.49638713100000004,M
NH-CN-Y,-0.572616884,0.372588216,M
NH-F-Al,-1.806849485,0.21044665399999998,M
NH-F-Bi,-0.622731083,0.38355764299999995,M
NH-F-Ce,-2.023607845,0.053749963,H
NH-F-Co,-0.945589475,0.054250463,H
NH-F-Cr,-1.321650143,0.097052135,H
NH-F-Fe,-0.913805318,0.17311113,H
NH-F-Ga,-1.15004145,0.19230645100000002,H
NH-F-Gd,-2.042867268,0.098357833,H
NH-F-In,-1.023261453,0.09527686,H
NH-F-Ir,-0.4425384,0.33885833,M
NH-F-La,-2.0921789,0.111054435,H
NH-F-Lu,-2.20704272,0.053376364,H
NH-F-Nd,-2.036027563,0.169389172,H
NH-F-Rh,-0.721199568,0.114552092,H
NH-F-Ru,-0.576156893,0.258289014,M
NH-F-Sc,-2.14488598,0.171856793,H
NH-F-Sm,-2.07110755,0.173861598,H
NH-F-Y,-2.166319638,0.10150162800000001,H
NH-I-Al,-0.535080008,0.480714198,M
NH-I-Bi,0.050551175,0.361316116,M
NH-I-Ce,-1.292739622,0.401973308,M
NH-I-Co,0.236764225,0.46954872700000005,L
NH-I-Cr,-0.247457735,0.302828678,M
NH-I-Fe,0.246126548,0.56144061,L
NH-I-Ga,-0.108007718,0.442099487,M
NH-I-Gd,-0.22117427,0.835947634,M
NH-I-In,-0.216136895,0.205958955,M
NH-I-Ir,0.41558600799999995,0.612202084,L
NH-I-La,-1.281256283,0.0,H
NH-I-Lu,-1.259571945,0.09771074,H
NH-I-Nd,-1.22126454,0.009275029,H
NH-I-Rh,0.204924703,0.43472573200000003,L
NH-I-Ru,0.313419863,0.51003009,L
NH-I-Sc,-1.156325798,0.146584722,H
NH-I-Sm,-1.23264251,0.017567513,H
NH-I-Y,-1.285380623,0.093587318,H
NH-NC-Al,-0.30955469,0.502739361,M
NH-NC-Bi,0.544304682,0.6752068040000001,L
NH-NC-Ce,-0.5135488,0.283924956,M
NH-NC-Co,0.31735535,0.448271365,L
NH-NC-Cr,0.06943046,0.44614896,M
NH-NC-Fe,0.343882824,0.5314612320000001,L
NH-NC-Ga,0.16964138399999998,0.553941432,M
NH-NC-Gd,-0.559252304,0.288584232,M
NH-NC-In,0.228904758,0.39950779200000003,L
NH-NC-Ir,0.596225868,0.7271362140000001,L
NH-NC-La,-0.594354382,0.173890761,H
NH-NC-Lu,-0.67319779,0.420680668,M
NH-NC-Nd,-0.555833116,0.23729702800000002,M
NH-NCO-Al,-0.897576597,0.35142918700000003,M
NH-NCO-Bi,-0.130052618,0.32933323600000003,M
NH-NCO-Ce,-1.0572521320000001,0.52619162,M
NH-NCO-Co,-0.35917521,0.206386779,M
NH-NCO-Cr,-0.6173429,0.28409993899999997,M
NH-NCO-Fe,-0.341708523,0.23707811899999998,M
NH-NCO-Ga,-0.498356255,0.265037818,M
NH-NCO-Gd,-1.055905732,0.15824307199999998,H
NH-NCO-In,-0.427961205,0.21388735399999997,M
NH-NCO-Ir,-0.11626959,0.339157019,M
NH-NCO-La,-1.06517544,0.408981207,M
NH-NCO-Lu,-1.162480187,0.37276342799999995,M
NH-NCO-Nd,-1.0443217470000001,0.43576708799999997,M
NH-NCO-Rh,-0.26976882,0.185655088,H
NH-NCO-Ru,-0.19252935,0.26289336,M
NH-NCO-Sc,-1.128195555,0.32268807,M
NH-NCO-Sm,-1.071602658,0.429591889,M
NH-NCO-Y,-1.139134945,0.41411583799999996,M
NH-NC-Rh,0.404570906,0.535478012,L
NH-NC-Ru,0.522620796,0.653526464,L
NH-NCS-Al,-0.39650818,0.280403591,M
NH-NCS-Bi,0.24128070100000001,0.44097308700000004,L
NH-NC-Sc,-0.617005942,0.404870432,M
NH-NCS-Ce,-0.633914451,0.230368472,M
NH-NCS-Co,0.15960888199999998,0.422895254,M
NH-NCS-Cr,-0.031541206,0.45908289799999996,M
NH-NCS-Fe,0.241329507,0.527170385,L
NH-NCS-Ga,-0.026704337999999998,0.365518286,M
NH-NCS-Gd,-0.664184068,0.176785174,H
NH-NCS-In,-0.012866743,0.32058888,M
NH-NCS-Ir,0.303966224,0.548446597,L
NH-NCS-La,-0.68553793,0.345803154,M
NH-NCS-Lu,-0.7545169359999999,0.29497519699999997,M
NH-NC-Sm,-0.5782635660000001,0.423593925,M
NH-NCS-Nd,-0.654451675,0.326106656,M
NH-NCS-Rh,0.165835266,0.46060250399999997,M
NH-NCS-Ru,0.274685467,0.559083753,L
