Compound,Class,Bandgap,Bandgap_nature,Kpoints_edge
PH-NCO-Al,Non-metal,1.1395,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
PH-NCO-Bi,Non-metal,1.8214000000000001,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
PH-NCO-Ce,Non-metal,0.8011999999999999,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-NCO-Co,Non-metal,1.4687999999999999,Indirect,"(0.333,0.000,0.000)-(0.333,0.333,0.000)"
PH-NCO-Cr,Metal,0.0,NA,NA
PH-NCO-Fe,Metal,0.0,NA,NA
PH-NCO-Ga,Non-metal,1.6465999999999998,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-NCO-Gd,Non-metal,2.0827,Indirect,"(0.000,0.000,0.000)-(-0.476,0.476,0.000)"
PH-NCO-In,Non-metal,1.1731000000000003,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
PH-NCO-Ir,Non-metal,2.6482,Indirect,"(0.190,0.143,0.000)-(0.333,0.333,0.000)"
PH-NCO-La,Non-metal,1.5178,Indirect,"(-0.476,0.476,0.000)-(-0.476,0.476,0.000)"
PH-NCO-Lu,Non-metal,0.6654,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
PH-NCO-Nd,Non-metal,1.2232,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-NCO-Rh,Non-metal,2.3561,Indirect,"(0.238,-0.000,0.000)-(0.333,0.333,0.000)"
PH-NCO-Ru,Metal,0.0,NA,NA
PH-NCO-Sc,Non-metal,0.7177,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-NCO-Sm,Non-metal,1.219,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
PH-NCO-Y,Non-metal,1.2084000000000001,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-NC-Rh,Non-metal,1.7315999999999998,Indirect,"(0.333,0.333,0.000)-(0.333,0.333,0.000)"
PH-NC-Ru,Metal,0.0,NA,NA
PH-NCS-Al,Non-metal,1.4922,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-NCS-Bi,Non-metal,1.4165999999999999,Indirect,"(0.143,0.000,0.000)-(0.000,0.000,0.000)"
PH-NC-Sc,Non-metal,0.5760000000000001,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-NCS-Ce,Non-metal,0.6737000000000001,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,-0.000)"
PH-NCS-Co,Non-metal,0.1771,Indirect,"(0.000,0.000,0.000)-(0.333,0.333,0.000)"
PH-NCS-Cr,Metal,0.0,NA,NA
PH-NCS-Fe,Metal,0.0,NA,NA
PH-NCS-Ga,Non-metal,1.0894,Indirect,"(0.095,0.000,0.000)-(0.476,0.000,0.000)"
PH-NCS-Gd,Non-metal,1.7142,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-NCS-In,Non-metal,1.5991,Indirect,"(0.143,-0.000,0.000)-(0.476,0.000,0.000)"
PH-NCS-Ir,Non-metal,1.5895000000000001,Indirect,"(0.000,0.000,0.000)-(0.333,0.333,0.000)"
PH-NCS-La,Non-metal,1.8578999999999999,Indirect,"(-0.476,0.476,0.000)-(0.476,0.000,0.000)"
PH-NCS-Lu,Non-metal,1.1667,Indirect,"(0.000,0.000,0.000)-(0.500,-0.000,0.000)"
PH-NC-Sm,Non-metal,1.4739,Indirect,"(0.476,-0.000,0.000)-(0.476,-0.000,0.000)"
PH-NCS-Nd,Non-metal,1.6185999999999998,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
PH-NCS-Rh,Non-metal,0.8823,Indirect,"(0.000,0.000,0.000)-(0.333,0.333,0.000)"
PH-NCS-Ru,Metal,0.0,NA,NA
PH-NCS-Sc,Non-metal,0.16979999999999998,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
PH-NCS-Sm,Non-metal,1.4906,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,-0.000)"
PH-NCS-Y,Non-metal,1.6431999999999998,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
PH-NC-Y,Non-metal,1.9966,Indirect,"(0.476,-0.000,-0.000)-(0.476,-0.000,-0.000)"
PH-NO-Al,Metal,0.0,NA,NA
PH-NO-Bi,Metal,0.0,NA,NA
PH-NO-Ce,Metal,0.0,NA,NA
PH-NO-Co,Metal,0.0,NA,NA
PH-NO-Cr,Metal,0.0,NA,NA
PH-NO-Fe,Metal,0.0,NA,NA
PH-NO-Ga,Metal,0.0,NA,NA
PH-NO-Gd,Metal,0.0,NA,NA
PH-NO-In,Metal,0.0,NA,NA
PH-NO-Ir,Metal,0.0,NA,NA
PH-NO-La,Metal,0.0,NA,NA
PH-NO-Lu,Metal,0.0,NA,NA
PH-NO-Nd,Metal,0.0,NA,NA
PH-NO-Rh,Metal,0.0,NA,NA
PH-NO-Ru,Metal,0.0,NA,NA
PH-NO-Sc,Metal,0.0,NA,NA
PH-NO-Sm,Metal,0.0,NA,NA
PH-NO-Y,Metal,0.0,NA,NA
PH-OCN-Al,Non-metal,0.9542999999999999,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
PH-OCN-Bi,Non-metal,0.8275999999999999,Indirect,"(0.333,0.333,-0.000)-(0.000,0.000,0.000)"
PH-OCN-Ce,Non-metal,1.194,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
PH-OCN-Co,Non-metal,0.8241999999999998,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-OCN-Cr,Metal,0.0,NA,NA
PH-OCN-Fe,Metal,0.0,NA,NA
PH-OCN-Ga,Non-metal,0.9515000000000002,Indirect,"(0.190,-0.000,0.000)-(0.000,0.000,0.000)"
PH-OCN-Gd,Non-metal,2.1186999999999996,Indirect,"(0.000,0.000,0.000)-(0.000,0.476,0.000)"
PH-OCN-In,Non-metal,0.9896000000000003,Indirect,"(0.286,0.000,0.000)-(0.000,0.000,0.000)"
PH-OCN-Ir,Non-metal,1.556,Indirect,"(0.143,-0.000,0.000)-(0.476,0.000,0.000)"
PH-OCN-La,Non-metal,2.0998,Indirect,"(-0.476,0.476,0.000)-(0.476,0.000,0.000)"
PH-OCN-Lu,Metal,0.0,NA,NA
PH-OCN-Nd,Non-metal,1.4513,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-OCN-Rh,Non-metal,1.0512000000000001,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
PH-OCN-Ru,Metal,0.0,NA,NA
PH-OCN-Sc,Non-metal,0.746,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-OCN-Sm,Non-metal,1.4201000000000001,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-OCN-Y,Non-metal,1.3878000000000001,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
PH-SCN-Al,Non-metal,1.6317000000000002,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
