Compound,Class,Bandgap,Bandgap_nature,Kpoints_edge
OH-OH-Ba,Non-metal,3.6976999999999998,Indirect,"(0.476,0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Be,Non-metal,2.4721,Indirect,"(0.143,-0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Ca,Non-metal,3.6801999999999997,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Cd,Non-metal,2.2906000000000004,Indirect,"(0.476,0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Co,Metal,0.0,NA,NA
OH-OH-Cu,Metal,0.0,NA,NA
OH-OH-Fe,Metal,0.0,NA,NA
OH-OH-Mg,Non-metal,3.3098,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Mn,Metal,0.0,NA,NA
OH-OH-Ni,Non-metal,1.0748,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Pb,Non-metal,1.6892,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-OH-Pd,Metal,0.0,NA,NA
OH-OH-Pt,Metal,0.0,NA,NA
OH-OH-Sr,Non-metal,3.6950000000000003,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Zn,Non-metal,2.3139000000000003,Indirect,"(0.476,0.000,0.000)-(0.000,0.000,0.000)"
OH-O-Al,Non-metal,2.6778000000000004,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-O-Bi,Non-metal,1.5576,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-O-Ce,Non-metal,3.4255,Indirect,"(0.476,0.048,0.000)-(0.000,0.000,0.000)"
OH-O-Co,Non-metal,0.43090000000000006,Indirect,"(0.095,0.095,0.000)-(0.000,0.000,0.000)"
OH-O-Cr,Metal,0.0,NA,NA
OH-O-Fe,Metal,0.0,NA,NA
OH-O-Ga,Non-metal,2.8420999999999994,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-O-Gd,Non-metal,3.7123999999999997,Indirect,"(0.476,0.048,0.000)-(0.000,0.000,0.000)"
OH-O-In,Non-metal,2.2669,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-O-Ir,Non-metal,1.0497,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-O-La,Non-metal,3.3716,Indirect,"(0.429,0.143,0.000)-(0.000,0.000,0.000)"
OH-O-Lu,Non-metal,3.5000999999999998,Indirect,"(0.476,0.286,0.000)-(0.000,0.000,0.000)"
OH-O-Nd,Non-metal,3.5692,Indirect,"(0.476,0.048,0.000)-(0.000,0.000,0.000)"
OH-O-Rh,Non-metal,0.7523,Indirect,"(0.095,0.095,0.000)-(0.000,0.000,0.000)"
OH-O-Ru,Metal,0.0,NA,NA
OH-O-Sc,Non-metal,3.7502,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-O-Sm,Non-metal,3.6054000000000004,Indirect,"(0.429,0.095,0.000)-(0.000,0.000,0.000)"
OH-O-Y,Non-metal,3.4311999999999996,Indirect,"(0.238,0.238,0.000)-(0.000,0.000,0.000)"
O-O-Ce,Metal,0.0,NA,NA
O-O-Ge,Non-metal,3.5671,Indirect,"(0.238,0.190,0.000)-(0.000,0.000,0.000)"
O-O-Hf,Non-metal,5.012499999999999,Indirect,"(0.190,0.143,0.000)-(0.333,0.333,0.000)"
O-O-Ir,Metal,0.0,NA,NA
O-O-Mo,Metal,0.0,NA,NA
O-O-Os,Metal,0.0,NA,NA
O-O-Pd,Non-metal,1.2621000000000002,Indirect,"(0.048,-0.000,0.000)-(0.333,-0.000,0.000)"
O-O-Pt,Non-metal,1.5550000000000002,Indirect,"(0.095,0.048,0.000)-(0.333,0.048,0.000)"
O-O-Re,Metal,0.0,NA,NA
O-O-Ru,Metal,0.0,NA,NA
O-O-Sn,Non-metal,2.5978999999999997,Indirect,"(0.238,0.238,0.000)-(0.000,0.000,0.000)"
O-O-Tc,Metal,0.0,NA,NA
O-O-Te,Metal,0.0,NA,NA
O-O-Ti,Non-metal,2.5383999999999998,Indirect,"(0.143,0.143,0.000)-(0.000,0.000,0.000)"
O-O-W,Metal,0.0,NA,NA
O-O-Zr,Non-metal,4.257899999999999,Indirect,"(0.190,0.143,0.000)-(0.333,0.333,0.000)"
NH-OH-Al,Non-metal,1.3872,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
NH-OH-Bi,Non-metal,0.7082999999999999,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
NH-OH-Ce,Non-metal,1.6770999999999998,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
NH-OH-Co,Non-metal,0.8725,Indirect,"(0.476,0.000,0.000)-(0.000,0.000,0.000)"
NH-OH-Cr,Metal,0.0,NA,NA
NH-OH-Fe,Metal,0.0,NA,NA
NH-OH-Ga,Non-metal,1.8877,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
NH-OH-Gd,Non-metal,2.2701,Indirect,"(0.476,0.000,0.000)-(0.000,0.000,0.000)"
NH-OH-In,Non-metal,1.5358,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
NH-OH-Ir,Non-metal,0.7681,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
NH-OH-La,Non-metal,2.1311999999999998,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
NH-OH-Lu,Non-metal,2.1855,Indirect,"(0.476,0.000,0.000)-(0.000,0.000,0.000)"
NH-OH-Nd,Non-metal,2.1532999999999998,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
NH-OH-Rh,Non-metal,1.3024,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
NH-OH-Ru,Metal,0.0,NA,NA
NH-OH-Sc,Non-metal,2.4336,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
NH-OH-Sm,Non-metal,2.209,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
NH-OH-Y,Non-metal,2.1881,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
PH-OH-Al,Metal,0.0,NA,NA
PH-OH-Bi,Non-metal,1.0170000000000001,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
PH-OH-Ce,Non-metal,0.3595999999999999,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
PH-OH-Co,Non-metal,1.4306,Indirect,"(0.190,0.190,0.000)-(0.333,0.333,0.000)"
PH-OH-Cr,Metal,0.0,NA,NA
PH-OH-Fe,Metal,0.0,NA,NA
PH-OH-Ga,Non-metal,0.6677,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
PH-OH-Gd,Non-metal,0.6901000000000002,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
PH-OH-In,Non-metal,0.7179999999999999,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
PH-OH-Ir,Non-metal,2.3178,Indirect,"(0.333,0.000,0.000)-(0.000,0.000,0.000)"
PH-OH-La,Non-metal,1.0241,Indirect,"(-0.476,0.476,0.000)-(0.000,0.000,0.000)"
PH-OH-Lu,Non-metal,0.12930000000000008,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
PH-OH-Nd,Non-metal,0.6753,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
PH-OH-Rh,Non-metal,2.2744,Indirect,"(0.476,0.048,0.000)-(0.476,0.000,0.000)"
PH-OH-Ru,Metal,0.0,NA,NA
PH-OH-Sc,Metal,0.0,NA,NA
PH-OH-Sm,Non-metal,0.4789000000000001,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
PH-OH-Y,Non-metal,0.13369999999999993,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
S-OH-Al,Non-metal,1.2017,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
S-OH-Bi,Non-metal,1.4942000000000002,Indirect,"(0.143,0.143,0.000)-(0.000,0.000,0.000)"
S-OH-Ce,Non-metal,2.2233,Indirect,"(0.238,0.238,0.000)-(0.000,0.000,0.000)"
S-OH-Co,Non-metal,1.0877000000000001,Indirect,"(0.333,0.333,0.000)-(0.333,0.333,0.000)"
S-OH-Cr,Non-metal,0.14650000000000002,Indirect,"(0.476,-0.000,0.000)-(0.476,-0.000,0.000)"
S-OH-Fe,Metal,0.0,NA,NA
S-OH-Ga,Non-metal,1.7525,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
S-OH-Gd,Non-metal,2.2379,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
S-OH-In,Non-metal,1.5674000000000001,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
S-OH-Ir,Non-metal,1.8502999999999998,Indirect,"(0.143,0.048,0.000)-(0.000,0.000,0.000)"
S-OH-La,Non-metal,2.3717,Indirect,"(0.381,0.048,0.000)-(0.000,0.000,0.000)"
S-OH-Lu,Non-metal,1.7488000000000001,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
S-OH-Nd,Non-metal,2.4093999999999998,Indirect,"(0.238,0.238,0.000)-(0.000,0.000,0.000)"
S-OH-Rh,Non-metal,1.6619,Indirect,"(0.143,0.000,0.000)-(0.333,0.333,0.000)"
S-OH-Ru,Metal,0.0,NA,NA
S-OH-Sc,Non-metal,2.0423999999999998,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
S-OH-Sm,Non-metal,2.3087999999999997,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
S-OH-Y,Non-metal,2.0658000000000003,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Se-OH-Al,Metal,0.0,NA,NA
Se-OH-Bi,Non-metal,1.8004,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Se-OH-Ce,Non-metal,1.5764000000000002,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Se-OH-Co,Non-metal,0.8252999999999999,Indirect,"(0.190,0.143,0.000)-(0.333,0.333,0.000)"
Se-OH-Cr,Non-metal,0.09150000000000003,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Se-OH-Fe,Metal,0.0,NA,NA
Se-OH-Ga,Non-metal,1.1377000000000002,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Se-OH-Gd,Non-metal,1.2655,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Se-OH-In,Non-metal,0.8712000000000002,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Se-OH-Ir,Non-metal,1.8793,Indirect,"(0.190,0.000,0.000)-(0.333,0.333,0.000)"
Se-OH-La,Non-metal,1.9994999999999998,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Se-OH-Lu,Non-metal,1.0558999999999998,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Se-OH-Nd,Non-metal,1.6180999999999999,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Se-OH-Rh,Non-metal,1.5688,Indirect,"(0.095,0.095,0.000)-(0.333,0.333,0.000)"
Se-OH-Ru,Metal,0.0,NA,NA
Se-OH-Sc,Non-metal,0.6235999999999999,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Se-OH-Sm,Non-metal,1.45,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Se-OH-Y,Non-metal,1.1427000000000003,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Te-OH-Al,Metal,0.0,NA,NA
Te-OH-Bi,Non-metal,1.4183,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Te-OH-Ce,Non-metal,0.47669999999999996,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Te-OH-Co,Non-metal,0.44299999999999995,Indirect,"(0.143,0.143,0.000)-(0.333,0.333,0.000)"
Te-OH-Cr,Metal,0.0,NA,NA
Te-OH-Fe,Metal,0.0,NA,NA
Te-OH-Ga,Metal,0.0,NA,NA
Te-OH-Gd,Non-metal,0.4357,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Te-OH-In,Metal,0.0,NA,NA
Te-OH-Ir,Non-metal,1.5901,Indirect,"(0.143,0.095,0.000)-(0.333,0.333,0.000)"
Te-OH-La,Non-metal,0.9670000000000001,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Te-OH-Lu,Non-metal,0.0021999999999999797,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Te-OH-Nd,Non-metal,0.7141,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Te-OH-Rh,Non-metal,1.2743,Indirect,"(0.190,0.143,0.000)-(0.333,0.333,0.000)"
Te-OH-Ru,Metal,0.0,NA,NA
Te-OH-Sc,Metal,0.0,NA,NA
Te-OH-Sm,Non-metal,0.2118,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Te-OH-Y,Metal,0.0,NA,NA
Br-Br-Ba,Non-metal,5.0416,Indirect,"(0.143,0.143,0.000)-(0.000,0.000,0.000)"
Br-Br-Be,Non-metal,4.3558,Indirect,"(0.143,-0.000,0.000)-(0.476,0.000,0.000)"
Br-Br-Ca,Non-metal,5.0342,Indirect,"(0.143,0.095,0.000)-(0.476,0.000,0.000)"
Br-Br-Cd,Non-metal,3.3204000000000002,Indirect,"(0.095,0.000,0.000)-(0.000,0.000,0.000)"
Br-Br-Co,Metal,0.0,NA,NA
Br-Br-Cu,Metal,0.0,NA,NA
Br-Br-Fe,Metal,0.0,NA,NA
Br-Br-Mg,Non-metal,4.8548,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Br-Br-Mn,Non-metal,0.9435,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
Br-Br-Ni,Non-metal,0.6284000000000001,Indirect,"(0.000,0.000,0.000)-(0.238,0.000,0.000)"
Br-Br-Pb,Non-metal,2.7274999999999996,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
Br-Br-Pd,Non-metal,0.1496000000000004,Indirect,"(0.000,0.000,0.000)-(0.238,0.000,0.000)"
Br-Br-Pt,Non-metal,0.1549999999999998,Indirect,"(0.000,0.000,0.000)-(0.238,0.000,0.000)"
Br-Br-Sr,Non-metal,5.044,Indirect,"(0.143,0.095,0.000)-(0.000,0.000,0.000)"
Br-Br-Zn,Non-metal,3.5844,Indirect,"(0.143,0.000,0.000)-(0.476,0.000,0.000)"
Cl-Cl-Ba,Non-metal,5.6382,Indirect,"(0.190,0.143,0.000)-(0.000,0.000,0.000)"
Cl-Cl-Be,Non-metal,5.9258,Indirect,"(0.143,0.000,0.000)-(0.476,0.000,0.000)"
Cl-Cl-Ca,Non-metal,5.8292,Indirect,"(0.143,0.095,0.000)-(0.476,-0.000,0.000)"
Cl-Cl-Cd,Non-metal,3.987,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Cl-Cl-Co,Non-metal,0.0005999999999999339,Indirect,"(0.333,0.333,0.000)-(0.333,0.333,0.000)"
Cl-Cl-Cu,Metal,0.0,NA,NA
Cl-Cl-Fe,Metal,0.0,NA,NA
Cl-Cl-Mg,Non-metal,6.0716,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
Cl-Cl-Mn,Non-metal,1.0713000000000001,Indirect,"(0.476,0.048,0.000)-(0.476,0.000,0.000)"
Cl-Cl-Ni,Non-metal,0.9762,Indirect,"(0.000,0.000,0.000)-(0.238,-0.000,0.000)"
Cl-Cl-Pb,Non-metal,3.0419,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
Cl-Cl-Pd,Non-metal,0.44799999999999995,Indirect,"(0.000,0.000,0.000)-(0.238,0.000,0.000)"
Cl-Cl-Pt,Non-metal,0.4838,Indirect,"(0.000,0.000,0.000)-(0.238,0.000,0.000)"
Cl-Cl-Sr,Non-metal,5.7669999999999995,Indirect,"(0.143,0.143,0.000)-(0.000,0.000,0.000)"
Cl-Cl-Zn,Non-metal,4.5641,Indirect,"(0.143,0.000,0.000)-(0.000,0.000,0.000)"
CN-CN-Ba,Non-metal,4.3631,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
CN-CN-Be,Non-metal,2.8125999999999998,Indirect,"(0.143,0.095,0.000)-(0.333,0.333,0.000)"
CN-CN-Ca,Non-metal,4.295400000000001,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
CN-CN-Cd,Non-metal,2.4596,Indirect,"(0.190,0.190,0.000)-(0.333,0.333,0.000)"
CN-CN-Co,Metal,0.0,NA,NA
CN-CN-Cu,Metal,0.0,NA,NA
CN-CN-Fe,Metal,0.0,NA,NA
CN-CN-Mg,Non-metal,3.9098000000000006,Indirect,"(0.143,0.095,0.000)-(0.333,0.333,0.000)"
CN-CN-Mn,Metal,0.0,NA,NA
CN-CN-Ni,Metal,0.0,NA,NA
CN-CN-Pb,Non-metal,1.7287999999999997,Indirect,"(0.000,0.000,0.000)-(0.238,0.190,0.000)"
CN-CN-Pd,Metal,0.0,NA,NA
CN-CN-Pt,Metal,0.0,NA,NA
CN-CN-Sr,Non-metal,4.590400000000001,Indirect,"(0.000,0.000,0.000)-(-0.476,0.476,0.000)"
CN-CN-Zn,Non-metal,2.16,Indirect,"(0.190,0.143,0.000)-(0.333,0.333,0.000)"
F-F-Ba,Non-metal,6.5509,Indirect,"(0.476,-0.000,0.000)-(0.000,0.000,0.000)"
F-F-Be,Non-metal,9.2584,Indirect,"(0.190,0.190,0.000)-(0.000,0.000,0.000)"
F-F-Ca,Non-metal,7.1663,Indirect,"(0.190,0.190,0.000)-(0.000,0.000,0.000)"
F-F-Cd,Non-metal,3.9349,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
F-F-Co,Non-metal,0.32959999999999967,Indirect,"(0.476,0.048,0.000)-(0.333,0.333,0.000)"
F-F-Cu,Metal,0.0,NA,NA
F-F-Fe,Metal,0.0,NA,NA
F-F-Mg,Non-metal,7.444599999999999,Indirect,"(0.190,0.143,0.000)-(0.000,0.000,0.000)"
F-F-Mn,Non-metal,1.1965000000000003,Indirect,"(0.476,0.000,0.000)-(0.476,0.000,0.000)"
F-F-Ni,Non-metal,0.9705999999999997,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
F-F-Pb,Non-metal,3.3415,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
F-F-Pd,Non-metal,0.33230000000000004,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
F-F-Pt,Metal,0.0,NA,NA
F-F-Sr,Non-metal,6.5178,Indirect,"(0.190,0.190,0.000)-(0.000,0.000,0.000)"
F-F-Zn,Non-metal,4.5428,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
I-I-Ba,Non-metal,4.1426,Indirect,"(0.143,0.095,0.000)-(0.476,0.000,0.000)"
I-I-Be,Non-metal,2.5223,Indirect,"(0.143,0.000,0.000)-(0.476,0.000,0.000)"
I-I-Ca,Non-metal,3.9102,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
I-I-Cd,Non-metal,2.5594,Indirect,"(0.095,0.000,0.000)-(0.476,-0.000,0.000)"
I-I-Co,Metal,0.0,NA,NA
I-I-Cu,Metal,0.0,NA,NA
I-I-Fe,Metal,0.0,NA,NA
I-I-Mg,Non-metal,3.6913,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
I-I-Mn,Non-metal,0.5877,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
I-I-Ni,Non-metal,0.0814999999999999,Indirect,"(0.000,0.000,0.000)-(0.238,0.238,0.000)"
I-I-Pb,Non-metal,2.5139000000000005,Indirect,"(0.143,0.095,0.000)-(0.000,0.000,0.000)"
I-I-Pd,Metal,0.0,NA,NA
I-I-Pt,Metal,0.0,NA,NA
I-I-Sr,Non-metal,4.265300000000001,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
I-I-Zn,Non-metal,2.1142000000000003,Indirect,"(0.143,0.000,0.000)-(0.476,0.000,0.000)"
NC-NC-Ba,Non-metal,4.602499999999999,Indirect,"(0.476,0.048,0.000)-(0.476,0.000,0.000)"
NC-NC-Be,Non-metal,2.8015,Indirect,"(0.333,0.333,0.000)-(0.476,0.048,0.000)"
NC-NC-Ca,Non-metal,4.3669,Indirect,"(0.333,0.333,0.000)-(0.476,0.000,0.000)"
NC-NC-Cd,Non-metal,3.2258999999999998,Indirect,"(0.381,0.238,0.000)-(0.476,0.476,0.000)"
NC-NC-Co,Metal,0.0,NA,NA
NC-NC-Cu,Metal,0.0,NA,NA
NC-NC-Fe,Metal,0.0,NA,NA
NC-NC-Mg,Non-metal,3.7916,Indirect,"(0.333,0.333,0.000)-(0.476,0.048,0.000)"
NC-NC-Mn,Non-metal,0.22140000000000004,Indirect,"(0.476,0.000,0.000)-(0.476,0.000,0.000)"
NC-NC-Ni,Non-metal,0.8040000000000003,Indirect,"(0.476,-0.000,0.000)-(0.238,0.238,0.000)"
NC-NC-Pb,Non-metal,3.1547,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
NC-NC-Pd,Metal,0.0,NA,NA
NC-NC-Pt,Metal,0.0,NA,NA
NC-NC-Sr,Non-metal,4.6152,Indirect,"(0.333,0.333,0.000)-(0.476,-0.000,0.000)"
NC-NC-Zn,Non-metal,2.8557999999999995,Indirect,"(0.333,0.333,0.000)-(0.476,0.048,0.000)"
NCO-NCO-Ba,Non-metal,4.471299999999999,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
NCO-NCO-Be,Non-metal,4.4988,Indirect,"(0.143,0.000,0.000)-(0.476,0.000,0.000)"
NCO-NCO-Ca,Non-metal,4.763199999999999,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
NCO-NCO-Cd,Non-metal,3.7735999999999996,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
NCO-NCO-Co,Metal,0.0,NA,NA
NCO-NCO-Cu,Metal,0.0,NA,NA
NCO-NCO-Fe,Metal,0.0,NA,NA
NCO-NCO-Mg,Non-metal,4.8939,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
NCO-NCO-Mn,Non-metal,0.7354,Indirect,"(-0.476,0.476,0.000)-(0.476,0.000,0.000)"
NCO-NCO-Ni,Non-metal,1.1052,Indirect,"(0.000,0.000,0.000)-(0.238,0.238,0.000)"
NCO-NCO-Pb,Non-metal,2.5471999999999992,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
NCO-NCO-Pd,Non-metal,0.6478999999999999,Indirect,"(0.000,0.000,0.000)-(0.238,0.238,0.000)"
NCO-NCO-Pt,Non-metal,0.3498999999999999,Indirect,"(0.476,-0.000,0.000)-(0.190,-0.000,0.000)"
NCO-NCO-Sr,Non-metal,4.7097,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
NCO-NCO-Zn,Non-metal,4.1903,Indirect,"(0.143,-0.000,0.000)-(0.000,0.000,0.000)"
NCS-NCS-Ba,Non-metal,3.3742,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
NCS-NCS-Be,Non-metal,1.4382000000000001,Indirect,"(0.048,-0.000,0.000)-(0.476,-0.000,0.000)"
NCS-NCS-Ca,Non-metal,3.1047000000000002,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
NCS-NCS-Cd,Non-metal,2.0319999999999996,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
NCS-NCS-Co,Metal,0.0,NA,NA
NCS-NCS-Cu,Metal,0.0,NA,NA
NCS-NCS-Fe,Metal,0.0,NA,NA
NCS-NCS-Mg,Non-metal,2.4306,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
NCS-NCS-Mn,Metal,0.0,NA,NA
NCS-NCS-Ni,Metal,0.0,NA,NA
NCS-NCS-Pb,Non-metal,2.1955,Indirect,"(0.048,0.000,0.000)-(0.000,0.000,0.000)"
NCS-NCS-Pd,Metal,0.0,NA,NA
NCS-NCS-Pt,Metal,0.0,NA,NA
NCS-NCS-Sr,Non-metal,3.3104999999999998,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
NCS-NCS-Zn,Non-metal,1.5295,Indirect,"(0.048,-0.000,0.000)-(0.476,0.000,0.000)"
NO-NO-Ba,Non-metal,0.45289999999999986,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
NO-NO-Be,Metal,0.0,NA,NA
NO-NO-Ca,Non-metal,0.06960000000000033,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
NO-NO-Cd,Metal,0.0,NA,NA
NO-NO-Co,Metal,0.0,NA,NA
NO-NO-Cu,Metal,0.0,NA,NA
NO-NO-Fe,Non-metal,0.0009000000000001229,Indirect,"(0.333,0.333,0.000)-(0.381,0.381,0.000)"
NO-NO-Mg,Metal,0.0,NA,NA
NO-NO-Mn,Metal,0.0,NA,NA
NO-NO-Ni,Metal,0.0,NA,NA
NO-NO-Pb,Metal,0.0,NA,NA
NO-NO-Pd,Metal,0.0,NA,NA
NO-NO-Pt,Metal,0.0,NA,NA
NO-NO-Sr,Non-metal,0.29600000000000026,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
NO-NO-Zn,Metal,0.0,NA,NA
OCN-OCN-Ba,Non-metal,3.7694,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
OCN-OCN-Be,Non-metal,2.8894,Indirect,"(0.048,-0.000,0.000)-(0.000,0.000,0.000)"
OCN-OCN-Ca,Non-metal,3.4618999999999995,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
OCN-OCN-Cd,Non-metal,1.0568,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
OCN-OCN-Co,Metal,0.0,NA,NA
OCN-OCN-Cu,Metal,0.0,NA,NA
OCN-OCN-Fe,Non-metal,0.021300000000000097,Indirect,"(0.333,0.333,0.000)-(0.143,0.143,0.000)"
OCN-OCN-Mg,Non-metal,2.8476,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
OCN-OCN-Mn,Non-metal,0.5851999999999999,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
OCN-OCN-Ni,Non-metal,0.5011000000000005,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
OCN-OCN-Pb,Non-metal,1.5955000000000004,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OCN-OCN-Pd,Metal,0.0,NA,NA
OCN-OCN-Pt,Metal,0.0,NA,NA
OCN-OCN-Sr,Non-metal,3.5357999999999996,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
OCN-OCN-Zn,Non-metal,1.5327000000000002,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
SCN-SCN-Ba,Non-metal,3.3223000000000003,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
SCN-SCN-Be,Non-metal,3.0759000000000003,Indirect,"(0.238,-0.000,0.000)-(0.476,-0.000,0.000)"
SCN-SCN-Ca,Non-metal,3.2483,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
SCN-SCN-Cd,Non-metal,2.3032,Indirect,"(0.476,-0.000,0.000)-(0.000,0.000,0.000)"
SCN-SCN-Co,Metal,0.0,NA,NA
