Compound,Elements,Element_numbers,H_f,E_total,#_atoms
NH-OH-Sc,"['Sc', 'H', 'N', 'O']","[1, 2, 1, 1]",-1.562290044,-44.36661822,5
NH-OH-Sm,"['Sm', 'H', 'N', 'O']","[1, 2, 1, 1]",-1.4722044,-74.15539,5
NH-OH-Y,"['Y', 'H', 'N', 'O']","[1, 2, 1, 1]",-1.559565658,-57.96799629,5
PH-OH-Al,"['Al', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.643421426,-34.43234377,5
PH-OH-Bi,"['Bi', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.319930276,-103.566488,5
PH-OH-Ce,"['Ce', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.762473588,-71.89670458,5
PH-OH-Co,"['Co', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.578387012,-43.5699717,5
PH-OH-Cr,"['Cr', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.605805498,-44.88466413,5
PH-OH-Fe,"['Fe', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.454951592,-43.8506946,5
PH-OH-Ga,"['Ga', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.410925536,-41.86106432,5
PH-OH-Gd,"['Gd', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.078825434,-87.72956381,5
PH-OH-In,"['In', 'P', 'H', 'O']","[1, 1, 2, 1]",-0.431066712,-58.9217702,5
PH-OH-Ir,"['P', 'H', 'Ir', 'O']","[1, 2, 1, 1]",-0.579195664,-97.57761496,5
PH-OH-La,"['La', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.148087324,-72.34467326,5
PH-OH-Lu,"['Lu', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.119363158,-84.42065243,5
PH-OH-Nd,"['Nd', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.098179358,-72.52943343,5
PH-OH-Rh,"['P', 'H', 'Rh', 'O']","[1, 2, 1, 1]",-0.677692792,-60.5906006,5
PH-OH-Ru,"['P', 'H', 'Ru', 'O']","[1, 2, 1, 1]",-0.435394284,-60.45200806,5
PH-OH-Sc,"['Sc', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.094054124,-43.15000726,5
PH-OH-Sm,"['Sm', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.103228004,-73.43507666,5
PH-OH-Y,"['Y', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.136907746,-56.97927537,5
S-OH-Al,"['Al', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.357853244,-32.40305279,4
S-OH-Bi,"['Bi', 'H', 'S', 'O']","[1, 1, 1, 1]",-0.668961472,-100.3990857,4
S-OH-Ce,"['Ce', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.920960637,-71.52458236,4
S-OH-Co,"['Co', 'H', 'S', 'O']","[1, 1, 1, 1]",-0.844479802,-39.81235902,4
S-OH-Cr,"['Cr', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.131475022,-42.1379399,4
S-OH-Fe,"['Fe', 'H', 'S', 'O']","[1, 1, 1, 1]",-0.760498997,-40.3743358,4
S-OH-Ga,"['Ga', 'H', 'S', 'O']","[1, 1, 1, 1]",-0.910350124,-39.20424031,4
S-OH-Gd,"['Gd', 'H', 'S', 'O']","[1, 1, 1, 1]",1.265804006,-73.02862379,4
S-OH-In,"['In', 'H', 'S', 'O']","[1, 1, 1, 1]",-0.935089122,-56.2631963,4
S-OH-Ir,"['H', 'Ir', 'S', 'O']","[1, 1, 1, 1]",-0.629656787,-92.95666696,4
S-OH-La,"['La', 'H', 'S', 'O']","[1, 1, 1, 1]",-2.005148237,-70.38123276,4
S-OH-Lu,"['Lu', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.991505667,-82.54626248,4
S-OH-Nd,"['Nd', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.937591737,-70.54530676,4
S-OH-Rh,"['H', 'Rh', 'S', 'O']","[1, 1, 1, 1]",-0.821152889,-56.24315137,4
S-OH-Ru,"['H', 'Ru', 'S', 'O']","[1, 1, 1, 1]",-0.607813659,-56.46269445,4
S-OH-Sc,"['Sc', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.936084917,-41.18047948,4
S-OH-Sm,"['Sm', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.950780249,-71.47846081,4
S-OH-Y,"['Y', 'H', 'S', 'O']","[1, 1, 1, 1]",-2.010741862,-55.09410726,4
