Compound,Elements,Element_numbers,H_f,E_total,#_atoms
Be2C,"['Be', 'C']","[2, 1]",-0.32359217999999973,-19.77352754,3
Be3N2,"['Be', 'N']","[24, 16]",-1.2953137194999997,-304.87132478,40
BeBr2,"['Be', 'Br']","[2, 4]",-1.2856182533333325,-93.02940352,6
BeCl2,"['Be', 'Cl']","[2, 4]",-1.6607588399999986,-50.14907904,6
BeCN2,"['Be', 'C', 'N']","[4, 4, 8]",-0.5524943731249987,-140.90030197,16
BeF2,"['Be', 'F']","[3, 6]",-3.486340239999999,-65.34782976,9
BeH2,"['Be', 'H']","[6, 12]",-0.1073614038888885,-69.50750527,18
BeH8N2O10,"['Be', 'H', 'N', 'O']","[2, 16, 4, 20]",-1.0119335019047626,-266.72179108,42
BeH8SO8,"['Be', 'H', 'S', 'O']","[2, 16, 2, 16]",-1.4391081312222223,-233.50739535,36
BeI2,"['Be', 'I']","[2, 4]",-0.6409258216666652,-159.24836493,6
BeO,"['Be', 'O']","[2, 2]",-3.079815045,-33.34084918,4
BeS,"['Be', 'S']","[1, 1]",-1.2571144585000011,-16.48762423,2
BeSO4,"['Be', 'S', 'O']","[1, 1, 4]",-2.0831174745,-51.09527816,6
Bi,['Bi'],[6],0.0,-470.97159395,6
Bi2I4O13,"['Bi', 'I', 'O']","[8, 16, 52]",-0.6979154560526336,-1587.87652866,76
Bi2O3,"['Bi', 'O']","[8, 12]",-1.2408474459999979,-726.64888292,20
Bi2P4O13,"['Bi', 'P', 'O']","[4, 8, 26]",-2.1980788184210533,-640.82478922,38
Bi2S3,"['Bi', 'S']","[8, 12]",-0.3261724866999998,-749.90659349,20
Bi2Se3,"['Bi', 'Se']","[2, 3]",-0.33072054599999773,-218.8419543,5
Bi2Se3O9,"['Bi', 'Se', 'O']","[8, 12, 36]",-1.0929075744642855,-1151.56483245,56
Bi2Se4Cl7,"['Bi', 'Se', 'Cl']","[8, 16, 28]",-0.7159037765384605,-1206.56575342,52
Bi2SeO5,"['Bi', 'Se', 'O']","[8, 4, 20]",-1.2057702812500004,-869.92660776,32
Bi2Te2S,"['Bi', 'Te', 'S']","[2, 2, 1]",-0.30427169739999727,-242.2571538,5
Bi2Te3,"['Bi', 'Te']","[2, 3]",-0.2769047020000016,-269.56532351,5
Bi2Te7Cl8,"['Bi', 'Te', 'Cl']","[4, 14, 16]",-0.7028722794117658,-982.6645615,34
Bi2TeO5,"['Bi', 'Te', 'O']","[8, 4, 20]",-1.2909556031249991,-940.6424693,32
Bi3BrO4,"['Bi', 'Br', 'O']","[12, 4, 16]",-1.2517505337499983,-1157.09802308,32
Bi3ClO4,"['Bi', 'Cl', 'O']","[12, 4, 16]",-1.2845240506250022,-1113.01560762,32
Bi3IO4,"['Bi', 'I', 'O']","[12, 4, 16]",-1.1514621781250014,-1223.9759117,32
Bi3Te2Cl10,"['Bi', 'Te', 'Cl']","[6, 4, 20]",-0.9344245459999949,-804.63076638,30
Bi4O7,"['Bi', 'O']","[8, 14]",-1.148482995,-739.41014889,22
Bi4Te3,"['Bi', 'Te']","[4, 3]",-0.19768585857143048,-426.55520101,7
Bi7O5F11,"['Bi', 'O', 'F']","[7, 5, 11]",-2.1293832004347846,-667.54912671,23
BiBr3,"['Bi', 'Br']","[2, 6]",-0.8950024175000024,-279.05916034,8
BiBrO,"['Bi', 'Br', 'O']","[2, 2, 2]",-1.2447014116666633,-215.07324447,6
BiCl3,"['Bi', 'Cl']","[4, 12]",-1.0566839568749984,-425.31172131,16
BiClO,"['Bi', 'Cl', 'O']","[2, 2, 2]",-1.3584348733333325,-193.19006124,6
BiF3,"['Bi', 'F']","[4, 12]",-2.5359962512499976,-396.36867522,16
BiF5,"['Bi', 'F']","[1, 5]",-1.770656221666665,-106.54071033,6
BiI3,"['Bi', 'I']","[2, 6]",-0.4494248975000019,-380.62521418,8
BiI3O9,"['Bi', 'I', 'O']","[4, 12, 36]",-0.6190019203846148,-1007.85633186,52
BiIO4,"['Bi', 'I', 'O']","[4, 4, 16]",-0.8548146799999993,-579.68227432,24
BiO2,"['Bi', 'O']","[4, 8]",-1.045662786666668,-375.77550944,12
BiP,"['Bi', 'P']","[1, 1]",0.22545324499999708,-88.45263565,2
BiP4HO12,"['Bi', 'P', 'H', 'O']","[2, 8, 2, 24]",-2.15219836,-472.38224608,36
BiPO4,"['Bi', 'P', 'O']","[2, 2, 8]",-2.115088268333333,-252.4344995,12
BiSBr,"['Bi', 'S', 'Br']","[4, 4, 4]",-0.6061073331666714,-436.33376325,12
BiSCl,"['Bi', 'S', 'Cl']","[4, 4, 4]",-0.6905912014999984,-392.21640167,12
BiSeCl,"['Bi', 'Se', 'Cl']","[4, 4, 4]",-0.6782600408333271,-433.85851525,12
BiTe,"['Bi', 'Te']","[6, 6]",-0.23123352499999328,-696.1270023,12
BiTeCl,"['Bi', 'Te', 'Cl']","[2, 2, 2]",-0.6612208983333309,-250.82198839,6
BiTeI,"['Bi', 'Te', 'I']","[1, 1, 1]",-0.38370102666667094,-153.38300558,3
Br,['Br'],[8],0.0,-154.63967891,8
Br2Cl3,"['Br', 'Cl']","[4, 6]",0.05068900600000035,-123.31059294,10
Br2O,"['Br', 'O']","[4, 2]",0.003929476666665248,-88.89370614,6
Br2O3,"['Br', 'O']","[16, 24]",0.1340029752499987,-448.80172499,40
BrF3,"['Br', 'F']","[2, 6]",-0.9727691462500001,-66.99076777,8
BrF5,"['Br', 'F']","[2, 10]",-0.9865683766666665,-84.98461352,12
BrNO3,"['Br', 'N', 'O']","[4, 4, 12]",-0.12541583950000046,-190.11823879,20
C,['C'],[4],0.0,-40.37100397,4
Ca,['Ca'],[4],0.0,-38.47052215,4
Ca2BrN,"['Ca', 'Br', 'N']","[2, 1, 1]",-1.7098441424999997,-54.50967357,4
Ca2HN,"['Ca', 'H', 'N']","[8, 4, 4]",-0.9692078425000012,-143.39781948,16
Ca2IN,"['Ca', 'I', 'N']","[4, 2, 2]",-1.3919137725000006,-141.51946218,8
Ca2N,"['Ca', 'N']","[2, 1]",-0.922674066666667,-31.2868957,3
Ca2NCl,"['Ca', 'N', 'Cl']","[2, 1, 1]",-1.8518303950000004,-43.79482658,4
Ca2NF,"['Ca', 'N', 'F']","[8, 4, 4]",-2.2829726775,-164.54023524,16
Ca3C3Cl2,"['Ca', 'C', 'Cl']","[6, 6, 4]",-1.2390476843750005,-169.56139495,16
Ca3C3S,"['Ca', 'C', 'S']","[3, 3, 1]",-0.8087695710000011,-74.41083531,7
Ca3N2,"['Ca', 'N']","[24, 16]",-0.9901871325000002,-418.9686613,40
Ca4Cl6O,"['Ca', 'Cl', 'O']","[8, 12, 2]",-2.8625249272727276,-246.6515154,22
Ca4CN4,"['Ca', 'C', 'N']","[16, 4, 16]",-1.043080189166667,-380.34226681,36
Ca7H12Cl2,"['Ca', 'H', 'Cl']","[7, 12, 2]",-0.992996912857142,-145.35839817,21
CaBr2,"['Ca', 'Br']","[2, 4]",-2.4182040150000006,-110.35011809,6
CaCl2,"['Ca', 'Cl']","[2, 4]",-2.7364084033333334,-67.12817642,6
CaCl2O4,"['Ca', 'Cl', 'O']","[2, 4, 8]",-1.0127691464285706,-114.13485005,14
CaCN2,"['Ca', 'C', 'N']","[1, 1, 2]",-1.0574427249999996,-42.5074689,4
CaCO3,"['Ca', 'C', 'O']","[2, 2, 6]",-2.481786503000001,-101.17333403,10
CaF2,"['Ca', 'F']","[1, 2]",-4.246447710000001,-29.32553233,3
CaH2,"['Ca', 'H']","[4, 8]",-0.6796848325000001,-74.25661799,12
CaH2F4,"['Ca', 'H', 'F']","[2, 4, 8]",-2.7834137092857136,-99.89234873,14
CaH2O2,"['Ca', 'H', 'O']","[1, 2, 2]",-2.0564013059999993,-39.11869553,5
CaH4Cl2O2,"['Ca', 'H', 'Cl', 'O']","[4, 16, 8, 8]",-1.646759271111112,-265.20914176,36
CaH4N2,"['Ca', 'H', 'N']","[4, 16, 8]",-0.7054032407142847,-187.75107874,28
CaHCl,"['Ca', 'H', 'Cl']","[2, 2, 2]",-1.7542667116666675,-52.40556327,6
CaHClO,"['Ca', 'H', 'Cl', 'O']","[2, 2, 2, 2]",-2.37551197125,-73.19564777,8
CaI2,"['Ca', 'I']","[1, 2]",-1.828390643333331,-88.44917693,3
CaI2O6,"['Ca', 'I', 'O']","[4, 8, 24]",-1.2313653444444443,-523.9242404,36
CaN2O6,"['Ca', 'N', 'O']","[4, 8, 24]",-1.1261385838888884,-301.01984502,36
CaN6,"['Ca', 'N']","[2, 12]",-0.24403774285714316,-134.0558104,14
CaO,"['Ca', 'O']","[1, 1]",-3.289483260000001,-22.35236102,2
CaO2,"['Ca', 'O']","[1, 2]",-2.1670874799999993,-28.43045144,3
CaS,"['Ca', 'S']","[1, 1]",-2.460203978500001,-24.15640327,2
CaSO4,"['Ca', 'S', 'O']","[2, 2, 8]",-2.485349941166666,-117.54254592,12
Cd,['Cd'],[2],0.0,-60.79726046,2
Cd2H3ClO3,"['Cd', 'H', 'Cl', 'O']","[8, 12, 4, 12]",-1.2244698897222213,-434.05877603,36
Cd3Cl2O2,"['Cd', 'Cl', 'O']","[6, 4, 4]",-1.2950359721428595,-256.61980761,14
Cd4OF6,"['Cd', 'O', 'F']","[8, 2, 12]",-2.232306966363635,-346.42267746,22
CdBr2,"['Cd', 'Br']","[2, 4]",-1.140239436666666,-144.24433062,6
CdCl2,"['Cd', 'Cl']","[1, 2]",-1.3323109833333338,-50.13279595,3
CdCN2,"['Cd', 'C', 'N']","[1, 1, 2]",-0.02319342500000232,-59.1514717,4
CdCO3,"['Cd', 'C', 'O']","[2, 2, 6]",-1.5314394590000007,-133.23186359,10
CdF2,"['Cd', 'F']","[1, 2]",-2.4440534600000015,-44.69934958,3
CdH2O2,"['Cd', 'H', 'O']","[2, 4, 4]",-1.172752482,-110.96290282,10
CdH8N2O10,"['Cd', 'H', 'N', 'O']","[2, 16, 4, 20]",-0.8668520290476203,-312.71556922,42
CdHBrO,"['Cd', 'H', 'Br', 'O']","[4, 4, 4, 4]",-1.1959485756249997,-255.77344921,16
CdHClO,"['Cd', 'H', 'Cl', 'O']","[2, 2, 2, 2]",-1.2805445687500008,-105.99790855,8
CdI2,"['Cd', 'I']","[9, 18]",-0.6668904025925924,-951.71108587,27
CdI2O6,"['Cd', 'I', 'O']","[4, 8, 24]",-0.6971842511111106,-587.81772104,36
CdO,"['Cd', 'O']","[1, 1]",-1.260364029999998,-39.07512256,2
CdS,"['Cd', 'S']","[4, 4]",-0.7624270522500041,-166.16739767,8
CdS2O7,"['Cd', 'S', 'O']","[4, 8, 28]",-1.4867258106500003,-430.37284093,40
CdSO4,"['Cd', 'S', 'O']","[2, 2, 8]",-1.5993416095000015,-148.47244594,12
Ce,['Ce'],[2],0.0,-89.22552022,2
Ce10S19,"['Ce', 'S']","[20, 38]",-1.5885400999310337,-1349.89034769,58
Ce10Se19,"['Ce', 'Se']","[20, 38]",-1.4415870467241372,-1738.37290193,58
Ce2Br5,"['Ce', 'Br']","[4, 10]",-1.828880977857145,-395.56976869,14
Ce2C3,"['Ce', 'C']","[8, 12]",0.34836243899999886,-471.04816322,20
Ce2H5,"['Ce', 'H']","[4, 10]",-0.25107190857142875,-216.50370672,14
Ce2NCl3,"['Ce', 'N', 'Cl']","[4, 2, 6]",-1.9501483991666646,-267.63211679,12
Ce2O3,"['Ce', 'O']","[16, 24]",-3.0326770734999995,-982.85095094,40
Ce2S3,"['Ce', 'S']","[8, 12]",-1.7877970957000002,-508.07908567,20
Ce2Se3O9,"['Ce', 'Se', 'O']","[8, 12, 36]",-1.8847447025000008,-924.84771162,56
