"Compound","C11","C22","C12","C66"
"S-OH-La",43.90926,43.90914,14.54594,14.68162
"S-OH-Lu",58.79824,58.79804,17.52994,20.6341
"S-OH-Nd",47.16626,47.1662,14.00418,16.58102
"S-OH-Rh",77.73275385,77.73265953,23.86347104,26.93461445
"S-OH-Ru",24.17653339,24.17650369,66.15176508,-20.98762326
"S-OH-Sc",64.44533435,64.44518694,17.48775731,23.47874552
"S-OH-Sm",49.67842,49.6783,14.74754,17.46542
"S-OH-Y",52.30662,52.30646,15.60136,18.35258
"Se-OH-Al",36.11051746,36.11041895,16.66579249,9.72232307
"Se-OH-Bi",43.57597226,43.57589674,14.36536323,14.60528563
"Se-OH-Ce",46.7882768,46.7882768,12.91287522,16.93771046
"Se-OH-Co",74.69133793,74.69119552,23.10238352,25.79444872
"Se-OH-Cr",73.26874165,73.26864663,15.58796111,28.84037443
"Se-OH-Fe",47.58200397,47.58193052,42.05572375,2.76312542
"Se-OH-Ga",33.47929985,33.47923959,42.02617693,-4.27345059
"Se-OH-Gd",52.43666871,52.43666871,14.9330821,18.75178338
"Se-OH-In",-273.98417189,-273.98422821,335.97960989,-304.98190028
"Se-OH-Ir",79.07406385,79.07385581,26.90461541,26.08466914
"Se-OH-La",39.93399512,39.93384025,13.36320729,13.28536487
"Se-OH-Lu",51.94189168,51.9419118,17.17507056,17.38341055
"Se-OH-Nd",46.69434362,46.6942643,13.14109525,16.77661426
"Se-OH-Rh",68.50866408,68.50852422,25.09944814,21.70457618
"Se-OH-Ru",17.17861334,17.17855811,61.81167872,-22.31654189
"Se-OH-Sc",65.98739336,65.98723421,17.2925888,24.34736249
"Se-OH-Sm",49.64376082,49.64362184,14.01092893,17.81637623
"Se-OH-Y",53.14121088,53.14101197,14.99657299,19.07226921
"Te-OH-Al",26.17248911,26.17238031,25.3155644,0.42844422
"Te-OH-Bi",37.73674219,37.73668852,11.69376269,13.02147185
"Te-OH-Ce",44.88728593,44.88728593,12.44805936,16.21960517
"Te-OH-Co",66.88523337,66.88511292,27.17388011,19.85564651
"Te-OH-Cr",34.24500253,34.24482902,18.51491061,7.86500258
"Te-OH-Fe",-200.81419126,-200.81364278,-212.95796416,6.07202799
"Te-OH-Ga",-5.80888145,-5.80888145,37.64314011,-21.72601999
"Te-OH-Gd",42.6705278,42.67056452,12.21296543,15.22879036
"Te-OH-In",-59.32995238,-59.32962203,68.23069233,-63.78023059
"Te-OH-Ir",65.05063427,65.05041332,23.34582119,20.85235555
"Te-OH-La",37.92078098,37.92078098,12.40211657,12.7593322
"Te-OH-Lu",39.38869862,39.38869862,15.15099538,12.11886085
"Te-OH-Nd",41.81422369,41.8141303,11.02796756,15.39310005
"Te-OH-Rh",56.098438,56.098438,21.60168556,17.24837621
"Te-OH-Ru",10.90823984,10.90820662,48.26111881,-18.67643948
"Te-OH-Sc",47.13550196,47.13536828,13.13532548,17.00005959
