"128_GdHOTe",-1.6383485425,"Te-OH-Gd"
"129_InHOTe",-0.645627105,"Te-OH-In"
"130_IrHOTe",-0.4712498475,"Te-OH-Ir"
"131_LaHOTe",-1.7023261925,"Te-OH-La"
"132_LuHOTe",-1.578919765,"Te-OH-Lu"
"133_NdHOTe",-1.6299020975,"Te-OH-Nd"
"134_RhHOTe",-0.7008556,"Te-OH-Rh"
"135_RuHOTe",-0.3999370325,"Te-OH-Ru"
"136_ScHOTe",-1.532773465,"Te-OH-Sc"
"137_SmHOTe",-1.6130867225,"Te-OH-Sm"
"138_YHOTe",-1.6310814825,"Te-OH-Y"
"319_CeH2N2",-0.872248674,"NH-NH-Ce"
"320_GeH2N2",-0.18917439,"NH-NH-Ge"
"321_HfH2N2",-1.033679376,"NH-NH-Hf"
"322_IrH2N2",0.173421056,"NH-NH-Ir"
"323_MoH2N2",-0.277440336,"NH-NH-Mo"
"324_OsH2N2",0.23723256,"NH-NH-Os"
"325_PdH2N2",0.205951562,"NH-NH-Pd"
"326_PtH2N2",0.007987332,"NH-NH-Pt"
"327_ReH2N2",0.007383006,"NH-NH-Re"
"328_RuH2N2",0.04989361,"NH-NH-Ru"
"329_SnH2N2",-0.16268836,"NH-NH-Sn"
"330_TcH2N2",-0.080653282,"NH-NH-Tc"
"331_H2N2Te",0.436821836,"NH-NH-Te"
"332_TiH2N2",-0.863959632,"NH-NH-Ti"
"333_WH2N2",-0.272272426,"NH-NH-W"
"334_ZrH2N2",-0.971547746,"NH-NH-Zr"
"335_CeH2P2",-0.37928788,"PH-PH-Ce"
"336_GeH2P2",0.280636896,"PH-PH-Ge"
"337_HfH2P2",-0.336832664,"PH-PH-Hf"
"338_IrH2P2",-0.260864708,"PH-PH-Ir"
"339_MoH2P2",-0.09374398,"PH-PH-Mo"
"340_OsH2P2",0.024826144,"PH-PH-Os"
"341_PdH2P2",-0.056819918,"PH-PH-Pd"
"342_PtH2P2",-0.32666184,"PH-PH-Pt"
"343_ReH2P2",0.091966836,"PH-PH-Re"
"344_RuH2P2",-0.053367674,"PH-PH-Ru"
"345_SnH2P2",0.17911421,"PH-PH-Sn"
"346_TcH2P2",-0.012201358,"PH-PH-Tc"
"347_H2P2Te",0.39302581,"PH-PH-Te"
"348_TiH2P2",-0.282801776,"PH-PH-Ti"
"349_WH2P2",-0.01062999,"PH-PH-W"
"350_ZrH2P2",-0.346264568,"PH-PH-Zr"
