Compound,Formation_energy,E_above_hull
OCN-OCN-Mn,-0.265559233,0.719141675
OCN-OCN-Ni,-0.091713199,0.635547362
OCN-OCN-Pb,-0.100890881,0.60964043
OCN-OCN-Pd,0.25059095,0.822062566
OCN-OCN-Pt,0.447370974,1.018839703
OCN-OCN-Sr,-0.803845024,0.587281173
OCN-OCN-Zn,-0.13895155,0.677148519
SCN-SCN-Ba,-0.208728446,0.496838236
SCN-SCN-Be,0.330200037,0.692431503
SCN-SCN-Ca,-0.166870955,0.539100375
SCN-SCN-Cd,0.328792558,0.549684766
SCN-SCN-Co,0.377075135,0.608015203
SCN-SCN-Cu,0.494399282,0.575836459
SCN-SCN-Fe,0.364261399,0.629839188
SCN-SCN-Mg,0.056709744,0.542953721
SCN-SCN-Mn,0.382291701,0.720292441
SCN-SCN-Ni,0.352279819,0.555671619
SCN-SCN-Pb,0.384393477,0.550212122
SCN-SCN-Pd,0.487923279,0.648031884
SCN-SCN-Pt,0.580847899,0.812144729
SCN-SCN-Sr,-0.179124116,0.528440222
SCN-SCN-Zn,0.339362204,0.614055831
SH-SH-Ba,-0.984309447,0.252467295
SH-SH-Be,-0.319467471,0.43663997
SH-SH-Ca,-1.025433569,0.21190968
SH-SH-Cd,-0.322509165,0.235723313
SH-SH-Co,-0.235736523,0.336562959
SH-SH-Cu,-0.045126519,0.317868915
SH-SH-Fe,-0.264065281,0.35672701
SH-SH-Mg,-0.732104755,0.197620201
SH-SH-Mn,-0.248581387,0.473603037
SH-SH-Ni,-0.273629261,0.260102645
SH-SH-Pb,-0.224546799,0.256582692
SH-SH-Pd,-0.048427007,0.424708427
SH-SH-Pt,0.065182571,0.63798152
SH-SH-Sr,-1.043461861,0.1961116
SH-SH-Zn,-0.307189131,0.326365335
NH-NH-Ce,-0.870372074,0.053732476
NH-NH-Ge,-0.18729779,0.151587198
NH-NH-Hf,-1.031802776,0.09554274
NH-NH-Ir,0.175297656,0.432838796
NH-NH-Mo,-0.275563736,0.179713966
NH-NH-Os,0.23910916,0.496658371
NH-NH-Pd,0.207828162,0.465369633
NH-NH-Pt,0.009863932,0.26740136
NH-NH-Re,0.009259606,0.285985531
NH-NH-Ru,0.05177021,0.309306671
NH-NH-Sn,-0.16081176,0.096737728
NH-NH-Tc,-0.078776682,0.250935997
NH-NH-Te,0.438698436,0.696242354
NH-NH-Ti,-0.862083032,0.18625746
NH-NH-W,-0.270395826,0.130209304
NH-NH-Zr,-0.969671146,0.158270686
PH-PH-Ce,-0.37898788,0.540275359
PH-PH-Ge,0.280936896,0.534192562
PH-PH-Hf,-0.336532664,0.471336407
PH-PH-Ir,-0.260564708,0.504511725
PH-PH-Mo,-0.09344398,0.471418657
PH-PH-Os,0.025126144,0.634816499
PH-PH-Pd,-0.056519918,0.503799704
PH-PH-Pt,-0.32636184,0.467792959
PH-PH-Re,0.092266836,0.579857032
PH-PH-Ru,-0.053067674,0.608217551
PH-PH-Sn,0.17941421,0.436645673
PH-PH-Tc,-0.011901358,0.567751176
PH-PH-Te,0.39332581,0.646591521
PH-PH-Ti,-0.282501776,0.488845898
PH-PH-W,-0.01032999,0.445299689
PH-PH-Zr,-0.345964568,0.546275818
S-S-Ce,-1.892383631,0
S-S-Ge,-0.223975258,0.155549685
S-S-Hf,-1.760390918,0.017196877
S-S-Ir,-0.275214285,0.238303915
S-S-Mo,-0.620539875,0.323961057
S-S-Os,0.025265535,0.481664138
S-S-Pd,-0.251147065,0.115309352
S-S-Pt,-0.516308295,0.01625398
S-S-Re,-0.153082155,0.445025012
S-S-Ru,-0.217519835,0.483715544
S-S-Sn,-0.446482275,0.015477177
S-S-Tc,-0.334471388,0.382966718
S-S-Te,-1.66E-05,0
S-S-Ti,-1.473824661,0
S-S-W,-0.536292305,0.313234033
S-S-Zr,-1.768988451,0.017978953
Se-Se-Ce,-1.703472163,0
Se-Se-Ge,-0.108824123,0.173981465
Se-Se-Hf,-1.474655347,0.016959263
Se-Se-Ir,-0.205324803,0.206255539
Se-Se-Mo,-0.41638306,0.283423435
Se-Se-Os,0.16379963,0.397852491
Se-Se-Pd,-0.289910283,0.043086532
Se-Se-Pt,-0.51375614,0.006958303
Se-Se-Re,0.04660284,0.444138162
Se-Se-Ru,-0.132557813,0.382921444
Se-Se-Sn,-0.358004003,0.01937794
Se-Se-Tc,-0.198515733,0
Se-Se-Te,-0.072342503,0
Se-Se-Ti,-1.248322023,0.007020485
Se-Se-W,-0.254225073,0.282919568
Se-Se-Zr,-1.521382927,0.01988974
Te-Te-Ce,-1.29231081,0.203525995
Te-Te-Ge,0.017710863,0.107161017
Te-Te-Hf,-0.97197191,0.028003683
Te-Te-Ir,-0.367648323,0.153292319
Te-Te-Mo,-0.193988167,0.197034535
Te-Te-Os,0.10159672,0.390420843
Te-Te-Pd,-0.400374123,0.11343454
Te-Te-Pt,-0.622001277,0.043760103
Te-Te-Re,0.221331743,0.221359413
Te-Te-Ru,-0.160199307,0.394342133
Te-Te-Sn,-0.162181343,0.066363667
Te-Te-Tc,-0.106472957,0
Te-Te-Ti,-0.856915463,0.02872202
Te-Te-W,0.06218692,0.252545911
Te-Te-Zr,-1.07013484,0.032589207
NH-Br-Al,-0.994957763,0.224704335
NH-Br-Bi,-0.134123015,0.326198271
NH-Br-Ce,-1.537077315,0.324629148
NH-Br-Co,-0.153986673,0.280892541
NH-Br-Cr,-0.652222973,0.164870628
NH-Br-Fe,-0.125543245,0.393220728
NH-Br-Ga,-0.497019153,0.233547743
NH-Br-Gd,-1.463191315,0.033748246
NH-Br-In,-0.507746728,0.080446806
NH-Br-Ir,0.100635098,0.464639595
NH-Br-La,-1.51909123,0
NH-Br-Lu,-1.567345223,0
NH-Br-Nd,-1.467830015,0.01384428
NH-Br-Rh,-0.127708568,0.292126189
NH-Br-Ru,0.039155373,0.412278745
NH-Br-Sc,-1.483489238,0.134112295
NH-Br-Sm,-1.490920575,0.018148315
NH-Br-Y,-1.565919843,0
NH-Cl-Al,-1.21754101,0.108204496
NH-Cl-Bi,-0.199583388,0.31360124
NH-Cl-Ce,-1.631745605,0.352512594
NH-Cl-Co,-0.376345045,0.165159915
NH-Cl-Cr,-0.82154837,0.075019919
NH-Cl-Fe,-0.356043088,0.244368847
NH-Cl-Ga,-0.669682908,0.127570633
NH-Cl-Gd,-1.579634765,0.036109505
NH-Cl-In,-0.62517706,0.044754604
NH-Cl-Ir,-0.051901138,0.246633894
NH-Cl-La,-1.626459765,0.094418918
NH-Cl-Lu,-1.706892705,0
NH-Cl-Nd,-1.576197988,0.09289333
NH-Cl-Rh,-0.293789988,0.100035259
NH-Cl-Ru,-0.14560421,0.269353053
NH-Cl-Sc,-1.632271445,0.101994075
NH-Cl-Sm,-1.60495866,0
NH-Cl-Y,-1.689442335,0.054172312
NH-CN-Al,-0.20383138,0.608462671
NH-CN-Bi,0.531538482,0.662440604
NH-CN-Ce,-0.46531496,0.332158796
NH-CN-Co,0.329260724,0.460176738
NH-CN-Cr,0.116315884,0.493034384
NH-CN-Fe,0.353419808,0.540998216
NH-CN-Ga,0.230445364,0.614745412
NH-CN-Gd,-0.48693611,0.360900426
NH-CN-In,0.27634269,0.446945724
NH-CN-Ir,0.502014248,0.632924595
NH-CN-La,-0.52657955,0.241665593
NH-CN-Lu,-0.585379686,0.508498772
NH-CN-Nd,-0.47978675,0.313343394
NH-CN-Rh,0.348872524,0.47977963
NH-CN-Ru,0.450738472,0.581644139
NH-CN-Sc,-0.520350712,0.501525662
NH-CN-Sm,-0.50547036,0.496387131
NH-CN-Y,-0.572616884,0.372588216
NH-F-Al,-1.806849485,0.210446654
NH-F-Bi,-0.622731083,0.383557643
NH-F-Ce,-2.023607845,0.053749963
NH-F-Co,-0.945589475,0.054250463
NH-F-Cr,-1.321650143,0.097052135
NH-F-Fe,-0.913805318,0.17311113
NH-F-Ga,-1.15004145,0.192306451
NH-F-Gd,-2.042867268,0.098357833
NH-F-In,-1.023261453,0.09527686
NH-F-Ir,-0.4425384,0.33885833
NH-F-La,-2.0921789,0.111054435
NH-F-Lu,-2.20704272,0.053376364
NH-F-Nd,-2.036027563,0.169389172
NH-F-Rh,-0.721199568,0.114552092
NH-F-Ru,-0.576156893,0.258289014
NH-F-Sc,-2.14488598,0.171856793
NH-F-Sm,-2.07110755,0.173861598
NH-F-Y,-2.166319638,0.101501628
NH-I-Al,-0.535080008,0.480714198
NH-I-Bi,0.050551175,0.361316116
NH-I-Ce,-1.292739622,0.401973308
NH-I-Co,0.236764225,0.469548727
NH-I-Cr,-0.247457735,0.302828678
NH-I-Fe,0.246126548,0.56144061
NH-I-Ga,-0.108007718,0.442099487
NH-I-Gd,-0.22117427,0.835947634
NH-I-In,-0.216136895,0.205958955
NH-I-Ir,0.415586008,0.612202084
NH-I-La,-1.281256283,0
NH-I-Lu,-1.259571945,0.09771074
NH-I-Nd,-1.22126454,0.009275029
NH-I-Rh,0.204924703,0.434725732
NH-I-Ru,0.313419863,0.51003009
NH-I-Sc,-1.156325798,0.146584722
NH-I-Sm,-1.23264251,0.017567513
NH-I-Y,-1.285380623,0.093587318
NH-NC-Al,-0.30955469,0.502739361
NH-NC-Bi,0.544304682,0.675206804
NH-NC-Ce,-0.5135488,0.283924956
NH-NC-Co,0.31735535,0.448271365
NH-NC-Cr,0.06943046,0.44614896
NH-NC-Fe,0.343882824,0.531461232
NH-NC-Ga,0.169641384,0.553941432
NH-NC-Gd,-0.559252304,0.288584232
NH-NC-In,0.228904758,0.399507792
NH-NC-Ir,0.596225868,0.727136214
NH-NC-La,-0.594354382,0.173890761
NH-NC-Lu,-0.67319779,0.420680668
NH-NC-Nd,-0.555833116,0.237297028
NH-NCO-Al,-0.897576597,0.351429187
NH-NCO-Bi,-0.130052618,0.329333236
NH-NCO-Ce,-1.057252132,0.52619162
NH-NCO-Co,-0.35917521,0.206386779
NH-NCO-Cr,-0.6173429,0.284099939
NH-NCO-Fe,-0.341708523,0.237078119
NH-NCO-Ga,-0.498356255,0.265037818
NH-NCO-Gd,-1.055905732,0.158243072
NH-NCO-In,-0.427961205,0.213887354
NH-NCO-Ir,-0.11626959,0.339157019
NH-NCO-La,-1.06517544,0.408981207
NH-NCO-Lu,-1.162480187,0.372763428
NH-NCO-Nd,-1.044321747,0.435767088
NH-NCO-Rh,-0.26976882,0.185655088
NH-NCO-Ru,-0.19252935,0.26289336
NH-NCO-Sc,-1.128195555,0.32268807
NH-NCO-Sm,-1.071602658,0.429591889
NH-NCO-Y,-1.139134945,0.414115838
NH-NC-Rh,0.404570906,0.535478012
NH-NC-Ru,0.522620796,0.653526464
NH-NCS-Al,-0.39650818,0.280403591
NH-NCS-Bi,0.241280701,0.440973087
NH-NC-Sc,-0.617005942,0.404870432
NH-NCS-Ce,-0.633914451,0.230368472
NH-NCS-Co,0.159608882,0.422895254
NH-NCS-Cr,-0.031541206,0.459082898
NH-NCS-Fe,0.241329507,0.527170385
NH-NCS-Ga,-0.026704338,0.365518286
NH-NCS-Gd,-0.664184068,0.176785174
NH-NCS-In,-0.012866743,0.32058888
NH-NCS-Ir,0.303966224,0.548446597
NH-NCS-La,-0.68553793,0.345803154
NH-NCS-Lu,-0.754516936,0.294975197
NH-NC-Sm,-0.578263566,0.423593925
NH-NCS-Nd,-0.654451675,0.326106656
NH-NCS-Rh,0.165835266,0.460602504
NH-NCS-Ru,0.274685467,0.559083753
NH-NCS-Sc,-0.704449155,0.264175205
NH-NCS-Sm,-0.68265402,0.372876266
NH-NCS-Y,-0.743053488,0.263165882
NH-NC-Y,-0.652542016,0.292663084
NH-NO-Al,-0.544563474,0.954243468
NH-NO-Bi,0.342747672,0.88727019
NH-NO-Ce,-0.7292229,0.781040603
NH-NO-Co,-0.03018952,0.648484868
NH-NO-Cr,-0.246166688,0.83556472
NH-NO-Fe,-0.08151506,0.613028913
NH-NO-Ga,-0.12464983,0.791423059
NH-NO-Gd,-0.708791254,0.748187312
NH-NO-In,0.031070554,0.801288826
NH-NO-Ir,0.242245662,0.712475937
NH-NO-La,-0.746250692,0.864997451
NH-NO-Lu,-0.825598612,0.957445709
NH-NO-Nd,-0.696190658,0.899982232
NH-NO-Rh,0.121384594,0.641849394
NH-NO-Ru,0.082858942,0.598950563
NH-NO-Sc,-0.773765866,0.967294485
NH-NO-Sm,-0.708117274,0.927534833
NH-NO-Y,-0.783709976,0.946504023
NH-OCN-Al,-0.664421655,0.584584128
NH-OCN-Bi,0.086867618,0.546253473
NH-OCN-Ce,-0.82374084,0.434812078
NH-OCN-Co,-0.113506322,0.452055667
NH-OCN-Cr,-0.378360252,0.523082587
NH-OCN-Fe,-0.042949605,0.535837038
NH-OCN-Ga,-0.258017863,0.50537621
NH-OCN-Gd,-0.900711505,2.477422882
NH-OCN-In,-0.192280205,0.449568354
NH-OCN-Ir,0.168800253,0.624226863
NH-OCN-La,-0.886178677,0.58797797
NH-OCN-Lu,-0.945062065,0.590181549
NH-OCN-Nd,-0.846531805,0.633557029
NH-OCN-Rh,-0.006771228,0.44865268
NH-OCN-Ru,0.099028442,0.554451152
NH-OCN-Sc,-0.90475236,0.546131265
NH-OCN-Sm,-0.866388258,0.634806289
NH-OCN-Y,-0.925882675,0.627368108
NH-SCN-Al,-0.158758895,0.518152876
NH-SCN-Bi,0.434514014,0.6342064
NH-SCN-Ce,-0.434439623,0.4298433
NH-SCN-Co,0.289152134,0.552438505
NH-SCN-Cr,0.021789694,0.512413798
NH-SCN-Fe,0.351615587,0.637456465
NH-SCN-Ga,0.153582454,0.545805078
NH-SCN-Gd,-0.474580095,0.366389147
NH-SCN-In,0.155690391,0.489146013
NH-SCN-Ir,0.339084179,0.583564552
NH-SCN-La,-0.504714496,0.526626588
NH-SCN-Lu,-0.543238125,0.506254008
NH-SCN-Nd,-0.474385731,0.506172599
NH-SCN-Rh,0.286752956,0.581520194
NH-SCN-Ru,0.428627762,0.713026048
NH-SCN-Sc,-0.495351876,0.473272483
NH-SCN-Sm,-0.487843911,0.567686375
NH-SCN-Y,-0.53725545,0.46896392
NH-SH-Al,-0.590700765,0.346085053
NH-SH-Bi,0.141874849,0.505997405
NH-SH-Ce,-0.981602481,0.56989772
NH-SH-Co,-0.032769819,0.40766552
NH-SH-Cr,-0.282568955,0.430671663
NH-SH-Fe,0.045023447,0.512524193
NH-SH-Ga,-0.179956147,0.415202695
NH-SH-Gd,-0.942018417,0.191636366
NH-SH-In,-0.178057759,0.346580681
NH-SH-Ir,0.032285949,0.45015409
NH-SH-La,-0.977891153,0.384209841
NH-SH-Lu,-1.027596471,0.297037764
NH-SH-Nd,-0.942258163,0.358903526
NH-SH-Rh,-0.020007701,0.458204678
NH-SH-Ru,0.135579105,0.601348741
NH-SH-Sc,-0.968529027,0.318311898
NH-SH-Sm,-0.961348391,0.343833125
NH-SH-Y,-1.022246087,0.309708849
O-Br-Al,-2.054379197,0.458968321
O-Br-Bi,-0.911133357,0.333568055
O-Br-Ce,-2.96055842,0
O-Br-Co,-0.62090485,0.49805426
O-Br-Cr,-1.57953119,0.434594013
O-Br-Fe,-0.966154453,0.243522798
O-Br-Ga,-1.23586117,0.387858129
