Compound,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,max ionic char,avg ionic char,minimum EN difference,maximum EN difference,range EN difference,mean EN difference,std_dev EN difference,avg anion electron affinity,M_oxid_state,Compound_id,Thermo_stability_level
S-OH-Gd,4,0.5,0.396850263,0.329876978,0.304753414,0.287174589,1,64,63,22.25,20.875,1,27,92,65,73.5,23.25,27,1.00794,157.25,156.24206,51.580585,52.8347075,1.00794,14.01,1586,1571.99,510.7925,537.60375,14.01,1,16,15,9,7,1,1,6,5,3,1.5,1,31,196,165,99.5,51,31,1.2,3.44,2.24,2.355,0.655,1.2,1,2,1,1.75,0.375,1,0,4,4,2,2,0,0,1,1,0.25,0.375,0,0,7,7,1.75,2.625,0,1,10,9,5.75,2.375,1,0,1,1,0.25,0.375,0,0,2,2,1,1,0,0,9,9,2.25,3.375,0,0,7,7,1.75,2.625,0,1,16,15,5.25,5.375,1,6.615,32.05,25.435,18.38921875,10.52921875,6.615,0,7.853,7.853,2.51375,2.669625,0,0,0,0,0,0,0,12,194,182,117.5,76.5,12,1.75,2,0.25,1.75,0.714753055,0.114885041,0.81,1.81,1,1.31,0.707106781,-341000,3,92_GdHOS,M
S-OH-In,4,0.5,0.396850263,0.329876978,0.304753414,0.287174589,1,49,48,18.5,15.25,1,75,92,17,85.5,5.25,75,1.00794,114.818,113.81006,40.972585,36.9227075,1.00794,14.01,429.75,415.74,221.73,187.325,14.01,1,16,15,11.5,5.25,1,1,5,4,2.75,1.25,1,31,142,111,86,37.5,31,1.78,3.44,1.66,2.5,0.51,1.78,1,2,1,1.75,0.375,1,0,4,4,2.25,1.75,0,0,10,10,2.5,3.75,0,0,0,0,0,0,0,1,13,12,6.5,3.25,1,0,1,1,0.25,0.375,0,0,5,5,2.25,1.375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2.5,1.25,1,6.615,25.786875,19.171875,16.44171875,8.58171875,6.615,0,7.853,7.853,2.51375,2.669625,0,0,0,0,0,0,0,12,194,182,103.75,62.75,12,1.75,2.25,2.5,0,0.497871894,0.075767474,0.81,1.23,0.42,1.02,0.296984848,-341000,3,93_InHOS,H
S-OH-Ir,4,0.5,0.396850263,0.329876978,0.304753414,0.287174589,1,77,76,25.5,25.75,1,60,92,32,81.75,10.875,60,1.00794,192.217,191.20906,60.322335,65.9473325,1.00794,14.01,2739,2724.99,799.0425,969.97875,14.01,1,16,15,10.5,5.5,1,1,6,5,3,1.5,1,31,141,110,85.75,37.25,31,2.2,3.44,1.24,2.605,0.4175,2.2,1,2,1,1.75,0.375,1,0,4,4,2,2,0,0,7,7,1.75,2.625,0,0,14,14,3.5,5.25,0,1,23,22,9,7,1,0,1,1,0.25,0.375,0,0,2,2,1,1,0,0,3,3,0.75,1.125,0,0,0,0,0,0,0,1,3,2,2,0.5,1,6.615,25.786875,19.171875,13.92921875,6.06921875,6.615,0,7.853,7.853,2.51375,2.669625,0,0,0,0,0,0,0,12,225,213,125.25,84.25,12,1.75,2,1.75,3.5,0.319140971,0.05487543,0.81,0.81,0,0.81,0,-341000,3,94_IrHOS,H
S-OH-La,4,0.5,0.396850263,0.329876978,0.304753414,0.287174589,1,57,56,20.5,18.25,1,13,92,79,70,28.5,13,1.00794,138.90547,137.89753,46.9944525,45.95550875,1.00794,14.01,1193,1178.99,412.5425,390.22875,14.01,1,16,15,9,7,1,1,6,5,3,1.5,1,31,207,176,102.25,53.75,31,1.1,3.44,2.34,2.33,0.68,1.1,1,2,1,1.75,0.375,1,0,4,4,2,2,0,0,1,1,0.25,0.375,0,0,0,0,0,0,0,1,6,5,4,2,1,0,1,1,0.25,0.375,0,0,2,2,1,1,0,0,9,9,2.25,3.375,0,0,0,0,0,0,0,1,9,8,3.5,2.75,1,6.615,36.8975,30.2825,19.60109375,11.74109375,6.615,0,7.853,7.853,2.51375,2.669625,0,0,0,0,0,0,0,12,194,182,117.5,76.5,12,1.75,2,0.25,0,0.745613369,0.121982404,0.81,1.91,1.1,1.36,0.777817459,-341000,3,95_LaHOS,M
S-OH-Lu,4,0.5,0.396850263,0.329876978,0.304753414,0.287174589,1,71,70,24,23.5,1,41,92,51,77,18,41,1.00794,174.9668,173.95886,56.009785,59.4785075,1.00794,14.01,1936,1921.99,598.2925,668.85375,14.01,1,16,15,9,7,1,1,6,5,3,1.5,1,31,187,156,97.25,48.75,31,1.27,3.44,2.17,2.3725,0.6375,1.27,1,2,1,1.75,0.375,1,0,4,4,2,2,0,0,1,1,0.25,0.375,0,0,14,14,3.5,5.25,0,1,17,16,7.5,4.75,1,0,1,1,0.25,0.375,0,0,2,2,1,1,0,0,9,9,2.25,3.375,0,0,0,0,0,0,0,1,9,8,3.5,2.75,1,6.615,28.865,22.25,17.59296875,9.73296875,6.615,0,7.853,7.853,2.51375,2.669625,0,0,0.0022471,0.0022471,0.000561775,0.000842663,0,12,194,182,117.5,76.5,12,1.75,2,0.25,3.5,0.691867379,0.109911215,0.81,1.74,0.93,1.275,0.657609307,-341000,3,96_LuHOS,M
S-OH-Nd,4,0.5,0.396850263,0.329876978,0.304753414,0.287174589,1,60,59,21.25,19.375,1,19,92,73,71.5,26.25,19,1.00794,144.242,143.23406,48.328585,47.9567075,1.00794,14.01,1294,1279.99,437.7925,428.10375,14.01,1,16,15,9,7,1,1,6,5,3,1.5,1,31,201,170,100.75,52.25,31,1.14,3.44,2.3,2.34,0.67,1.14,1,2,1,1.75,0.375,1,0,4,4,2,2,0,0,0,0,0,0,0,0,4,4,1,1.5,0,1,6,5,4.75,1.875,1,0,1,1,0.25,0.375,0,0,2,2,1,1,0,0,0,0,0,0,0,0,10,10,2.5,3.75,0,1,10,9,3.75,3.125,1,6.615,34.81,28.195,19.07921875,11.21921875,6.615,0,7.853,7.853,2.51375,2.669625,0,0,0,0,0,0,0,12,194,182,117.5,76.5,12,1.75,2,0,1,0.733531702,0.119147816,0.81,1.87,1.06,1.34,0.749533188,-341000,3,97_NdHOS,M
S-OH-Rh,4,0.5,0.396850263,0.329876978,0.304753414,0.287174589,1,45,44,17.5,13.75,1,59,92,33,81.5,11.25,59,1.00794,102.9055,101.89756,37.99446,32.45552,1.00794,14.01,2237,2222.99,673.5425,781.72875,14.01,1,16,15,10.5,5.5,1,1,5,4,2.75,1.25,1,31,142,111,86,37.5,31,2.2,3.44,1.24,2.625,0.4075,2.2,1,2,1,1.5,0.5,1,0,4,4,2,2,0,0,8,8,2,3,0,0,0,0,0,0,0,1,9,8,5.5,2.25,1,0,1,1,0.5,0.5,0,0,2,2,1,1,0,0,2,2,0.5,0.75,0,0,0,0,0,0,0,1,3,2,2,0.5,1,6.615,25.786875,19.171875,13.78671875,6.000078125,6.615,0,7.853,7.853,2.51375,2.669625,0,0,0,0,0,0,0,12,225,213,125.25,84.25,12,1.5,2,2,0,0.319140971,0.052057494,0.73,0.81,0.08,0.77,0.056568542,-341000,3,98_RhHOS,H
S-OH-Ru,4,0.5,0.396850263,0.329876978,0.304753414,0.287174589,1,44,43,17.25,13.375,1,56,92,36,80.75,12.375,56,1.00794,101.07,100.06206,37.535585,31.7672075,1.00794,14.01,2607,2592.99,766.0425,920.47875,14.01,1,16,15,10.25,5.75,1,1,5,4,2.75,1.25,1,31,146,115,87,38.5,31,2.2,3.44,1.24,2.605,0.4175,2.2,1,2,1,1.5,0.5,1,0,4,4,2,2,0,0,7,7,1.75,2.625,0,0,0,0,0,0,0,1,8,7,5.25,2.125,1,0,1,1,0.5,0.5,0,0,2,2,1,1,0,0,3,3,0.75,1.125,0,0,0,0,0,0,0,1,4,3,2.25,0.875,1,6.615,25.786875,19.171875,13.75421875,6.016328125,6.615,0,7.853,7.853,2.51375,2.669625,0,0,0,0,0,0,0,12,194,182,117.5,76.5,12,1.5,2,1.75,0,0.319140971,0.05487543,0.81,0.81,0,0.81,0,-341000,3,99_RuHOS,M
S-OH-Sc,4,0.5,0.396850263,0.329876978,0.304753414,0.287174589,1,21,20,11.5,7,1,11,92,81,69.5,29.25,11,1.00794,44.955912,43.947972,23.507063,15.003393,1.00794,14.01,1814,1799.99,567.7925,623.10375,14.01,1,16,15,9,7,1,1,4,3,2.5,1,1,31,170,139,93,44.5,31,1.36,3.44,2.08,2.395,0.615,1.36,1,2,1,1.75,0.375,1,0,4,4,2,2,0,0,1,1,0.25,0.375,0,0,0,0,0,0,0,1,6,5,4,2,1,0,1,1,0.25,0.375,0,0,2,2,1,1,0,0,9,9,2.25,3.375,0,0,0,0,0,0,0,1,9,8,3.5,2.75,1,6.615,25.786875,19.171875,15.93546875,8.07546875,6.615,0,7.853,7.853,2.51375,2.669625,0,0,0.00000635,0.00000635,0.00000159,0.00000238,0,12,194,182,117.5,76.5,12,1.75,2,0.25,0,0.660947393,0.103549326,0.81,1.65,0.84,1.23,0.593969696,-341000,3,100_ScHOS,M
S-OH-Sm,4,0.5,0.396850263,0.329876978,0.304753414,0.287174589,1,62,61,21.75,20.125,1,23,92,69,72.5,24.75,23,1.00794,150.36,149.35206,49.858085,50.2509575,1.00794,14.01,1345,1330.99,450.5425,447.22875,14.01,1,16,15,9,7,1,1,6,5,3,1.5,1,31,198,167,100,51.5,31,1.17,3.44,2.27,2.3475,0.6625,1.17,1,2,1,1.75,0.375,1,0,4,4,2,2,0,0,0,0,0,0,0,0,6,6,1.5,2.25,0,1,8,7,5.25,2.125,1,0,1,1,0.25,0.375,0,0,2,2,1,1,0,0,0,0,0,0,0,0,8,8,2,3,0,1,8,7,3.25,2.375,1,6.615,33.23,26.615,18.68421875,10.82421875,6.615,0,7.853,7.853,2.51375,2.669625,0,0,0,0,0,0,0,12,194,182,110.5,69.5,12,1.75,2,0,1.5,0.724240177,0.117017425,0.81,1.84,1.03,1.325,0.728319985,-341000,3,101_SmHOS,M
