Compound,E_above_hull
CN-CN-Co,0.8889245869999982
CN-CN-Cu,1.0323045019999988
CN-CN-Fe,0.8943341770000011
CN-CN-Mg,0.9324826264999988
CN-CN-Mn,0.8909660349999999
CN-CN-Ni,0.9271478460000004
CN-CN-Pb,0.7656554009999965
CN-CN-Pd,0.9175967579999966
CN-CN-Pt,0.9821592269999933
CN-CN-Sr,0.7097266571666676
CN-CN-Zn,0.890008160999999
F-F-Ba,0.27465588333333457
F-F-Be,0.29974185333333203
F-F-Ca,0.21081831666666773
F-F-Cd,0.15824358999999966
F-F-Co,0.057505114999997886
F-F-Cu,0.23417218666666706
F-F-Fe,0.20496537666666548
F-F-Mg,0.1494898866666663
F-F-Mn,0.3413844016666676
F-F-Ni,0.12939430833333354
F-F-Pb,0.20333789666666746
F-F-Pd,0.091016015000001
F-F-Pt,0.6293711333333363
F-F-Sr,0.2445332266666682
F-F-Zn,0.12391659666666754
I-I-Ba,0.08939047749999673
I-I-Be,0.2945459983333336
I-I-Ca,0.015479069999997819
I-I-Cd,0.017246379259255207
I-I-Co,0.017991170000001944
I-I-Cu,0.08624256666666597
I-I-Fe,0.23744741000000147
I-I-Mg,0.015307643333333232
I-I-Mn,0.07068151
I-I-Ni,0.01873550666666901
I-I-Pb,0.018446165833339023
I-I-Pd,0.13988494749999347
I-I-Pt,0.28573711583333505
I-I-Sr,0.02035503833332797
I-I-Zn,0.14171971999999755
NC-NC-Ba,0.5085132714999983
NC-NC-Be,1.0048807269999962
NC-NC-Ca,0.6328090805000013
NC-NC-Cd,0.694201614499999
NC-NC-Co,0.8232202629999996
NC-NC-Cu,1.0683023639999991
NC-NC-Fe,0.8537850109999994
NC-NC-Mg,0.7301133104999984
NC-NC-Mn,0.6731276069999996
NC-NC-Ni,0.7740478720000006
NC-NC-Pb,0.736967486999994
NC-NC-Pd,1.2221394379999975
NC-NC-Pt,1.4341660689999927
NC-NC-Sr,0.5717532271666688
NC-NC-Zn,0.8069983689999987
NCO-NCO-Ba,0.2774715132142891
NCO-NCO-Be,0.4740049132142854
NCO-NCO-Ca,0.23948620416666877
NCO-NCO-Cd,0.1842994217857168
NCO-NCO-Co,0.22507479238094952
NCO-NCO-Cu,0.27650893642857177
NCO-NCO-Fe,0.21986039142857017
NCO-NCO-Mg,0.2692126362500016
NCO-NCO-Mn,0.25436638934523614
NCO-NCO-Ni,0.1900263551785777
NCO-NCO-Pb,0.2432499938095276
NCO-NCO-Pd,0.3128696721428561
